"US1200761047","Q1002992"
"TREDZBK00015","Q1115064"
"FR0010259150","Q111546"
"CNE100000338","Q1117001"
"AU000000ILU1","Q1117761"
"GB0006825383","Q1118657"
"JP3429800000","Q11189379"
"RU000A0HHK26","Q1119857"
"BRCESPACNOR3","US20440P4072","Q1121199"
"BRCMGDDBS009","Q1121202"
"BRCPFEACNOR0","US1261531057","Q1121216"
"BRCCROACNOR2","Q1121225"
"PTMFR0AM0003","Q1121894"
"US4698651092","Q1122179"
"US2054771025","Q1122299"
"US2053631048","Q1122329"
"JP3390400004","Q11226587"
"US2056381096","Q1122747"
"JP3626800001","Q11229276"
"CH0010675863","Q1122965"
"US2059441012","Q1123366"
"US2058871029","Q1123399"
"SE0000427361","Q1123823"
"ES0130960018","Q1124060"
"JP3400400002","Q11242714"
"CA64438T4019","Q1126054"
"US2091151041","Q1127536"
"FR0000127771","Q1127887"
"DE0009147207","Q1127891"
"US21036P1084","Q1128160"
"CZ0009106043","Q11283119"
"NL0000380830","Q1128836"
"US8998961044","Q1129117"
"JP3220200004","Q11294875"
"CH0244017502","Q1129539"
"US2166484020","Q1129792"
"US2168311072","Q1129847"
"JP3311400000","Q11304138"
"US8175651046","Q11306218"
"GB0001452795","Q1130757"
"BRCPLEACNPB9","Q1130970"
"BE0003822393","Q1131131"
"JP3399400005","Q11311968"
"US8121393016","Q1131835"
"JP3547060008","Q11319692"
"JP3548610009","Q11320256"
"JP3548800006","Q11320384"
"JP3625000009","Q11321180"
"DK0010181759","DK0010181676","Q113215"
"US6936561009","Q1132272"
"JP3639100001","Q11322733"
"NL0000288967","Q1132950"
"IT0004588932","Q11332391"
"DK0060050201","Q11338915"
"CH0039821084","Q113405"
"US22025Y4070","Q1135278"
"JP3888250002","Q11354285"
"PTCOR0AE0006","Q1135601"
"CA2208741017","Q1135686"
"JP3334800004","Q11356940"
"GB0031638363","Q1136085"
"JP3813200007","Q11361559"
"MHY1771G1026","Q1136433"
"QA0006929895","Q1136759"
"JP3343200006","Q1136885"
"AU000000CXY1","Q1136921"
"US67020Y1001","Q1137289"
"JP3279400000","Q11375826"
"BE0003883031","Q1137796"
"JP3735000006","Q1137879"
"US2228621049","Q1138073"
"US2315611010","Q1138291"
"CNE100000312","Q1138452"
"US3364331070","Q1138888"
"BE0974259880","Q1139707"
"PTSCO0AE0004","Q1139920"
"JP3841800000","Q11404108"
"METECGRA0PG7","Q1140641"
"SG9999000020","Q1140680"
"US9285634021","Q11407"
"INE067A01029","Q1140875"
"RU000A0J2Q06","US67812M2070","Q1141123"
"US5719032022","Q1141173"
"CA8849031056","Q1141267"
"JP3452000007","Q1141882"
"MX01EL000003","Q1142753"
"GB0002405495","Q1142797"
"BE0003717312","Q1142890"
"CNE1000031C1","Q1143211"
"PTSML0AM0009","Q1143305"
"MXP369181377","Q1143318"
"JP3494600004","Q11435639"
"JP3687000004","Q1143659"
"JP3711600001","Q11441729"
"FR0000120537","Q1144929"
"GB00B01C3S32","Q1145004"
"SE0000242455","Q1145493"
"CA59162N1096","Q1145669"
"GB00BFZ4N465","Q1146061"
"US00724F1012","Q11463"
"JP3933800009","Q1146428"
"FI0009000566","Q1146592"
"MYL4197OO009","Q1146772"
"TREVKFB00019","Q1148521"
"US6752321025","Q1150535"
"JP3183200009","Q11507487"
"JP3918000005","Q11512295"
"JP3381000003","Q1151693"
"HK0000069689","Q1152465"
"JP3582600007","Q11524838"
"GB0008706128","Q1152764"
"AE0005802576","Q1153463"
"NO0003921009","Q1154660"
"AEDFXA0M6V00","Q1154956"
"NL0009538784","Q1155668"
"US8070661058","Q1155729"
"DK0010262914","Q1155771"
"DE0008045501","Q1156042"
"US74460D1090","Q1156045"
"DE000DWS1007","Q1156210"
"JP3905200006","Q1156731"
"JP3493800001","Q1157511"
"JP3481800005","Q1157589"
"JP3502200003","Q1157716"
"US2342641097","Q1157767"
"US2358511028","Q1159256"
"PLBRE0000012","Q1160928"
"FR0000121329","Q1161666"
"MC0000031187","Q1162190"
"JP3816800001","Q11624896"
"CA5542821031","Q1165227"
"JP3229400001","Q11656239"
"GB0003753778","Q1166056"
"JP3303400000","Q11661591"
"GRS492003009","Q1166195"
"KZ000A0JC858","Q1168179"
"FR0000121709","Q1168517"
"PLDINPL00011","Q11694239"
"PLTVN0000017","Q11702615"
"GB0006731235","Q117059"
"FR0000130650","Q1172038"
"CS0008437851","Q11733380"
"PLLPP0000011","Q11752350"
"PLMCIMG00012","Q11764837"
"PLMOJ0000015","Q11764997"
"ZAE000170049","Q117849"
"PL0000289192","Q11792979"
"GB0008787029","Q118046"
"US2435371073","Q1181953"
"US2454961044","Q1183818"
"IL0010841281","Q1184087"
"DE0005146807","Q1184978"
"PTBCP0AM0007","Q118581"
"FI4000106299","Q11859513"
"BRFJTAACNOR5","BRFJTAACNPR2","Q1187505"
"US86800C1045","Q1188943"
"JP3300600008","Q118911"
"US24869P1049","Q1189695"
"JP3551520004","Q1189945"
"US8485771021","Q1190598"
"GB00B24CGK77","Q1190881"
"JP3802600001","Q1191685"
"US5949724083","Q1192211"
"ES0137650018","Q11922225"
"JP3982800009","Q1192667"
"JP3167640006","Q1192687"
"US5010141043","Q1192805"
"CA72585V1031","Q1194143"
"CA8911605092","Q1194832"
"US7504381036","Q1195490"
"HK0000139300","US8795313092","Q1195543"
"JP3164720009","Q1196269"
"FI4000074984","Q1197161"
"NO0010029804","Q11974822"
"US5951121038","Q1197548"
"GB0003452173","Q1198156"
"US25470M1099","Q1199757"
"US0374111054","Q119991"
"MHY8564W1030","Q12005331"
"US29272W1099","Q1200840"
"AU000000MQG1","Q1200904"
"DK0010006329","Q1201076"
"DE000A1ML7J1","Q1202053"
"CZ0008002854","Q12021780"
"LU0633102719","Q1203426"
"CZ0005006502","Q12036484"
"FI0009007355","Q120371"
"BAENPSR00000","Q120433"
"CZ0005131755","Q12043871"
"DE000A0HN5C6","Q1204510"
"CZ0005102350","CZ0005102467","Q12051564"
"US25179M1036","Q1206980"
"JP3101400004","Q1207071"
"IT0003115950","Q1207494"
"GB0059822006","Q1208459"
"GB00B0LCW083","Q12179266"
"JP3657400002","Q1218180"
"SA0007879063","Q12184641"
"SA0007879550","Q12188903"
"SA0007870062","Q12188904"
"SA0007870054","Q12188930"
"SA0007879568","Q12188937"
"SA0007879055","Q12199341"
"US2536511031","Q1220078"
"GB00BH4HKS39","Q122141"
"SA1230K1UGH7","Q12218555"
"SA121053DR18","Q12218575"
"SA0007879410","Q12218607"
"US25389M8771","Q1224697"
"NO0004135633","Q1225328"
"GB0008435405","Q1225703"
"DK0015250344","Q12301123"
"US3715591059","Q1230295"
"CNE000000JP5","Q1231406"
"JP3500610005","Q1232514"
"DK0010224310","Q12327546"
"CA2849021035","Q1232862"
"AT0000818802","Q1233020"
"DK0060032068","Q12333528"
"DE0005488100","Q1235090"
"US2567431059","Q1235669"
"BMG578481068","Q1236521"
"US2575592033","Q1238739"
"DK0010253335","Q1238842"
"FR0004035913","Q1239347"
"DE0007218406","Q1240300"
"DK0060094928","Q1241260"
"FI0009000400","Q1241369"
"DK0060655629","Q1243964"
"ID1000113905","Q12482376"
"INE522F01014","Q124976"
"CH0102659627","Q1250129"
"DE000A0JQ4J9","Q1250162"
"ID1000130305","Q12514359"
"ID1000125305","Q12518175"
"US26138E1091","Q1254149"
"JP3695200000","Q1254304"
"GB00B1VNSX38","Q1256028"
"CNE1000003X6","Q1256188"
"PLLOTOS00025","Q1256909"
"DE0005545503","Q1259028"
"KR7011170008","Q12594201"
"US5184391044","Q1260606"
"US22266T1097","Q12620655"
"CH0023405456","Q1264020"
"US26441C2044","Q1264404"
"US26483E1001","Q1265181"
"CA2653121087","Q1265517"
"US26816Q1013","Q1269170"
"US0126531013","Q127074"
"DE0005565204","Q1272125"
"KYG5496K1242","Q1272525"
"ES0127797019","Q1274362"
"IT0005176406","Q1275301"
"ES0130670112","Q1275336"
"US26875P1012","Q1275577"
"US29414B1044","Q1275613"
"SE0012853455","Q1275733"
"FR0004110310","Q1275908"
"FR0000031775","Q1276709"
"US52736R102","Q127962"
"RSNISHE79420","Q1279721"
"AT000KAPSCH9","Q1280482"
"US2787681061","Q1280748"
"CH0319416936","Q1280993"
"MX01AZ060013","Q1281055"
"US2788651006","Q1282031"
"US2791581091","Q1282130"
"US91913Y1001","Q1283291"
"RU0007288411","Q1284261"
"RU0009090542","Q1284333"
"US6092071058","Q12857502"
"JP3386450005","Q128577"
"US8725401090","Q1285819"
"BE0003793107","BE0974293251","Q128738"
"IL0011259137","Q1287771"
"IE0009420385","Q1288205"
"CH0108503795","Q1288880"
"US0079031078","Q128896"
"DE000A0D9PT0","Q128929"
"INE242A01010","Q1289348"
"CH0364749348","Q1291360"
"JP3762600009","Q1295105"
"EE3100007220","Q1295663"
"NL0012756316","Q1299444"
"DK0060014751","Q1300555"
"FR0000130452","Q1302944"
"BMG667211046","Q130309"
"FR0000130338","FR0013176526","Q1305281"
"TRAKCHOL91Q8","Q1306571"
"DE0005654933","Q1307902"
"NO0003028904","NO0010736879","Q1309851"
"AT0000652011","Q1310001"
"JP3258000003","Q1310990"
"AU000000FGL6","Q1313123"
"US87151Q1067","Q1315706"
"JE00B8KF9B49","Q1318049"
"US4612021034","Q1318848"
"US6323471002","Q1319505"
"US6558441084","Q1321054"
"JP3240400006","Q1321815"
"GB00B7T77214","Q13218598"
"US51817R1068","Q1321868"
"JP3597800006","Q1321914"
"US9418481035","Q1322011"
"GB00B01FLG62","Q1322045"
"JP3399000003","Q1322517"
"INE467B01029","Q13227919"
"IL0010811243","Q1325369"
"US9024941034","Q1325987"
"IT0003039010","Q1327389"
"IT0001415246","Q1327429"
"MEEPCGRA1NK6","Q1327509"
"BRELPLACNPR6","Q1328247"
"BRELETACNOR6","Q1328252"
"NO0010816093","Q1331615"
"US62476F2002","Q1332025"
"JP3574200006","Q1332242"
"JP3277800003","Q1332506"
"CH0005319162","Q1332669"
"DE0005677108","Q1333071"
"GB0009323741","Q1333162"
"SI0031104290","Q1335433"
"US2910111044","Q1335585"
"BE0003803203","Q1336773"
"SE0000202624","Q1337240"
"ES0114820113","Q1337706"
"US6762201068","Q1337797"
"CH0016440353","Q1339621"
"CA29250N1050","Q1339966"
"US8565522039","Q1340361"
"PLENEA000013","Q1341068"
"PTEDP0AM0009","Q1341222"
"CH0039651184","Q1341261"
"DE0005313506","Q1341306"
"BA000A0D8SE4","Q1341530"
"RSHOLDE58279","Q1341538"
"US29275Y1029","Q1341588"
"CA29274D6046","Q1341590"
"FR0010208488","Q13416787"
"US5128071082","Q1342041"
"IT0003007728","Q1342350"
"IT0000072618","Q1343118"
"US29364G1031","Q1344587"
"CA29382B1022","Q1344736"
"FR0000130395","Q1345059"
"JP3336560002","Q1345267"
"SE0003366871","Q1345441"
"US36473H1041","Q1345971"
"US29426L1089","Q1346969"
"DE000A11QW50","Q1347002"
"BMG5876H1051","Q1347782"
"FR0000131757","Q1347990"
"JP3571400005","Q1351484"
"CA8029121057","Q1352708"
"US0144911049","Q135281"
"CA59151K1084","Q13529431"
"CA6445351068","Q13529435"
"CA7669101031","Q13529475"
"US0138171014","Q135325"
"ES0105122024","Q1355854"
"US98912M2017","Q135900"
"NL0012015705","Q1359435"
"US01609W1027","KYG017191142","Q1359568"
"CA51925D1069","Q1360087"
"DE0006275001","Q136132"
"CH0001010971","Q1361530"
"US01741R1023","Q1361648"
"US6475811070","Q13631921"
"PTZON0AM0006","Q136331"
"MYL1155OO000","Q1364018"
"INE075A01022","Q1364176"
"CNE1000004Y2","Q136484"
"JP3228600007","Q1365015"
"DE0006070006","Q136542"
"DE000ZAL1111","Q136570"
"FR0010918292","Q1365773"
"DK0010307958","Q136672"
"KR7003551009","Q136778"
"JP3352400000","Q1368019"
"LU0202957089","Q1368445"
"RU0007775219","US6074091090","Q1368919"
"DE0006605009","Q136915"
"US0844231029","Q1369955"
"NL0010558797","Q1370287"
"JP3752900005","Q1372049"
"US5486611073","Q1373493"
"GB0007099541","Q1374135"
"FR0000121121","Q1374315"
"CLP3880F1085","Q1374824"
"FR0012789949","Q1376256"
"JP3401400001","Q137803"
"ES0105075008","Q1378683"
"DE0007500001","Q137910"
"DE0007037129","Q138133"
"BMG3223R1088","Q1381973"
"DE0005664809","Q1382629"
"GB00B71N6K86","Q1382653"
"SE0000232175","Q1383537"
"US30161N1019","Q1383669"
"NL0012059018","Q1384140"
"US3021301094","Q1384324"
"US30219E1038","Q1384784"
"DE0008286006","Q1384809"
"JP3449020001","Q1385852"
"AU000000QBE9","Q138736"
"US6177001095","Q1389504"
"AT0000785407","Q1390074"
"US90184L1026","Q1390577"
"US3032501047","Q1392999"
"CA3039011026","Q1393210"
"FR0000053142","Q1393575"
"CH0004699440","Q1394844"
"JP3802300008","Q1397688"
"CNE0000006L6","Q1397713"
"US3138551086","Q1400073"
"DE0006026008","Q1401316"
"INE040H01021","Q1402563"
"HRZABARA0009","Q140381"
"DE000A1X3W00","Q1403929"
"CH0011029946","Q1404191"
"INE275A01028","Q1405782"
"XS0102264651","Q1407601"
"GB00B83VD954","Q1407658"
"ES0118900010","Q1408037"
"US4415931009","Q1410137"
"PLBSK0000017","Q1410383"
"BRFIBRACNOR9","Q1410766"
"CNE000001QZ7","Q1410821"
"US31620M1062","Q1411295"
"GB0007590234","Q1411344"
"US8872281048","Q1411739"
"US3167731005","Q1411810"
"FR0000121691","Q1412968"
"CH0005795668","Q1413257"
"US7479062041","Q1413997"
"US9299031024","Q1415262"
"US5297711070","Q1415501"
"US3802371076","Q1416215"
"FR0000044448","Q141644"
"KZ1C49280015","Q1417227"
"JP3799000009","Q1417614"
"FI0009000681","Q1418"
"US3379321074","Q1419248"
"US3205171057","Q1419446"
"ES0132105018","Q1419453"
"CA3359341052","Q1419532"
"MXP904131325","Q1420164"
"US3377381088","Q1420513"
"SE0000193120","Q1421630"
"FR0000121147","Q142205"
"US4826861027","Q1422386"
"JP3903000002","Q1423176"
"US86764P1093","Q1423218"
"FI0009000277","Q1423707"
"GB00B61TVQ02","Q1423812"
"BRITUBACNPR1","Q1424293"
"GB00BHJYC057","Q1424962"
"US4485791028","Q1425063"
"AN8068571086","Q1425316"
"US26210C1045","Q142539"
"JP3221400009","Q1425561"
"DE0007170300","Q1425607"
"CH0127480363","Q142720"
"BRVIVOACNOR1","Q1428656"
"US65249B1098","Q14289857"
"CH0012337421","Q1429510"
"SI0031102120","Q143017"
"US34354P1057","Q1430331"
"INE213A01029","Q1430541"
"AU000000NAB4","Q1430985"
"FR0000073041","Q1431285"
"FR0000133308","Q1431486"
"IT0003826473","Q1432285"
"XS0365327930","Q1432506"
"FI0009000459","Q1433279"
"US4138751056","Q1433308"
"US91529Y1064","Q143435"
"VGG572791041","Q1435010"
"GRS287003016","Q1435535"
"MXP320321310","Q1435628"
"GB00B1KJJ408","Q1435702"
"US9108734057","Q143616"
"INE451A01017","Q1436646"
"US3458381064","Q1437195"
"ES0144580Y14","Q1437502"
"AU000000SGP0","Q1437959"
"AU000000FMG4","Q1438957"
"CA3495531079","Q1438987"
"FI0009007132","Q1439075"
"JP3802800007","Q1439493"
"KYG5264Y1089","Q1439934"
"US2252233042","Q144060"
"US5495202039","Q1441532"
"GB0009376368","Q144175"
"JP3218900003","Q14428"
"KW0EQ0601058","Q144364"
"IT0003497168","IT0003497176","Q144617"
"INE001A01036","Q1446319"
"PLZCPLC00036","Q144888"
"FR0013451333","Q1450805"
"US2566771059","Q145168"
"NO0003089005","Q1452182"
"US35671D8570","Q1453620"
"US4404521001","Q1454852"
"ZM0000000078","Q145524"
"ATFREQUENT09","Q1455549"
"JP3419050004","Q1457152"
"US7615256093","Q1459595"
"RU0009062467","US36829G1076","Q1461799"
"US65557T2050","Q14623477"
"US82967H1014","Q1464560"
"PLTLKPL00017","Q1465005"
"CNE100000X10","Q1465351"
"GB00B08SNH34","GB00BDR05C01","Q1465461"
"ES0171743901","Q1466106"
"US00287Y1091","Q14662364"
"SE0000109290","Q1467848"
"BE0003845626","Q1468024"
"DE0006069008","Q1470518"
"US7010941042","Q1470619"
"GB0005603997","Q1470848"
"GB00B1VQ6H25","Q1470929"
"GB0004544929","Q1471161"
"US9633201069","Q1471346"
"JP3955800002","Q1471756"
"US40434J1007","Q147224"
"US56418H1005","Q1472539"
"DE0007806002","Q147260"
"US6311031081","Q1472929"
"BRKLBNACNPR9","US49834M1009","Q1474718"
"FR0000125486","Q1475312"
"FR0000121220","Q1475554"
"NO0010199151","Q1475657"
"JP3236200006","Q1475699"
"US74266R3021","Q1476080"
"JP3634600005","Q1476105"
"LU0075646355","Q1476368"
"LU0075646355","Q1476377"
"NO0003078800","Q1476386"
"GB00B1Z7RQ77","Q1476472"
"PLKGHM000017","Q1476710"
"RU0008943394","US7785291078","Q1477012"
"US0373763087","RU0008958863","Q1477022"
"BMG7945E1057","Q1477156"
"US0567521085","Q14772"
"US6937181088","Q1477661"
"TH0380010Y15","Q1477681"
"JP3753000003","Q1478918"
"CN0009282731","CNE0000011B7","Q1479076"
"HK0066009694","Q1479375"
"US9682232064","US9682233054","Q1479654"
"HK0992009065","Q14799"
"FI0009005318","Q1481634"
"HK0008011667","Q1482052"
"GB00B8KJH563","Q14832845"
"CNE000000PC0","Q1485050"
"US98389B1008","Q1486956"
"DE000GSW1111","Q1487131"
"FI0009900682","Q1489206"
"BE0003562700","Q14903417"
"FR0000130213","Q1490400"
"CH0360674466","Q1491819"
"PTGAL0AM0009","Q1492739"
"ES0143416115","Q1493131"
"US36555P1075","Q1494132"
"FR0010040865","Q1497417"
"US5981481048","Q149947"
"VGG379591065","Q1499909"
"NL0000400653","Q1499936"
"US4606901001","Q1501630"
"US37247D1063","Q1502712"
"US3729171047","Q1502740"
"FI0009004204","Q1502782"
"US36162J1060","Q1502794"
"GB00B6SLMV12","Q1503728"
"GB0033277061","Q1503753"
"IT0004810054","Q1503818"
"UA1004311007","Q1505321"
"US5178341070","Q1506045"
"HK0004000045","Q1506638"
"FI0009014575","Q1507020"
"US4132163001","Q1507228"
"CNE1000006Z4","CNE000001998","Q1507642"
"US8641591081","Q1508526"
"HRKOEIRA0009","Q1509011"
"US8803491054","Q1509038"
"INE749A01030","Q1509905"
"US6078281002","Q1509926"
"US4523081093","Q1510378"
"GB0000608009","Q1510450"
"US2241221017","Q15109862"
"US9021041085","Q15109887"
"BRGGBRACNPR8","US3737371050","Q1511043"
"FR0000121261","Q151107"
"CH0003420806","Q1511140"
"JP3870000001","Q1513300"
"DE000A1H3J67","Q1514031"
"JP3266400005","Q1514221"
"HK1208013172","Q15150358"
"SG1J26887955","Q1515558"
"CA89353D1078","Q1516108"
"CA8672241079","Q1516410"
"US53071M1045","Q1516562"
"FR0000032278","Q1516576"
"US0171751003","Q151670"
"US6700081010","Q1516806"
"CA82028K2002","Q1516849"
"CNE0000019P0","Q1518015"
"SA13L050IE10","Q1518238"
"CNE0000018R8","Q1518607"
"CH0002187810","Q1519080"
"US6819191064","Q1519267"
"RU000A0JP2C3","Q1519572"
"DE000BAY0017","Q152051"
"GB0007980591","Q152057"
"GB00B019KW72","Q152096"
"PK0059701018","Q1521406"
"DE0007571424","Q15221372"
"US3744561016","Q1522721"
"NL0010545661","Q15238661"
"CA3759161035","Q1524197"
"JP3126200009","Q1524303"
"US9841211033","Q152433"
"KE0000000547","Q1525124"
"KR7064350002","Q152517"
"SE0001785197","Q1526778"
"KYG040111059","Q152695"
"TH0068010014","Q1527826"
"DE000A11Q133","Q152815"
"TW0002357001","Q152864"
"US7739031091","Q1529234"
"TH0902010014","Q15304350"
"US7274931085","Q1531473"
"PLGTC0000037","Q1531744"
"US6964293079","Q1532489"
"DE0005570808","Q1532941"
"ES0175438003","Q1533296"
"US5010441013","Q153417"
"ZAE000018123","Q1534597"
"CH0004870942","Q1534704"
"CA3809564097","Q1534795"
"SA0007879543","Q1535171"
"OM0000003026","Q1535581"
"FI0009002158","Q1536068"
"IE00B1RR8406","Q1536176"
"RSKOBBE33594","Q1536320"
"EE3100004466","Q1536909"
"FR0000031684","Q1537151"
"FR0000130577","Q1537378"
"SE0000113250","Q1537811"
"CA5503721063","Q1537901"
"JP3932400009","Q1538466"
"US4663671091","Q1538507"
"US4881522084","Q1538585"
"BROIBRACNOR1","BROIBRACNPR8","Q1538731"
"JP3420600003","Q1539141"
"TW0005347009","Q1539149"
"IT0003918577","Q153975"
"US98936J1016","Q15401349"
"FI0009007694","Q1540297"
"FR0000120271","Q154037"
"RU0009100291","Q1540721"
"BRUSIMACNPA6","US9173022008","Q1540745"
"CZ0008019106","Q1541079"
"BRPCARACNPR0","US20440T2015","Q1541470"
"JP3902900004","US6068221042","Q1542175"
"US1567081096","Q15427523"
"LT0000116220","Q1543499"
"SE0001857533","Q1543815"
"US428040CN71","Q1543874"
"US6197312019","Q1544268"
"ARP9028N1016","Q1544312"
"DK0010272632","Q1544339"
"US6365181022","Q1544413"
"US5950171042","Q1545076"
"US6708721005","Q1545542"
"DE000A161N30","Q1545677"
"IL0010823123","Q1548363"
"GB00B2PDGW16","Q1548712"
"GB00B03MLX29","GB00B03MM408","Q154950"
"US6866881021","Q1549511"
"NZTELE0001S4","Q1549526"
"US9113121068","Q155026"
"ES0167050915","Q1550888"
"ES0173093115","Q1551220"
"LT0000123911","Q1551228"
"ID1000068604","Q1553005"
"HK0000083920","Q15534494"
"SE0000195570","Q1554820"
"JP3982100004","Q1557223"
"JP3780200006","Q156034"
"DE000KD88880","Q1560372"
"FR0000120321","Q156077"
"DE0005759070","Q156152"
"US30231G1022","Q156238"
"US92719A1060","Q1562664"
"US91822M1062","Q1562826"
"USX3458MAA46","Q1564355"
"SE0002136242","Q1564880"
"DE0007664005","DE0007664039","Q156578"
"PK0085101019","Q1566843"
"CH0019624805","Q1567275"
"NL0010877643","Q15678788"
"GB00B128C026","Q156829"
"DE0005229900","Q156913"
"US78442P1066","Q1569558"
"DE0006599905","Q156959"
"GB00B10RZP78","NL0000009355","Q157062"
"DE0006969603","Q157064"
"US48248M1027","Q1570773"
"SE0000105199","Q1570796"
"US87157D1090","Q1571490"
"NL0000337319","Q1572363"
"US98584B1035","Q1572831"
"JP3493400000","Q15731340"
"IT0004827447","Q15734697"
"US0130781000","Q1574066"
"HK0101000591","Q1575432"
"DE000CBK1001","Q157617"
"US7405851046","Q1576191"
"DE0005552004","Q157645"
"ZAE000109815","Q1576610"
"MXP554091415","Q1577153"
"US5658491064","Q1577587"
"US5362521044","Q1577907"
"DE0005810055","Q157852"
"BRITSAACNPR7","Q1579151"
"BRUGPAACNPR5","Q1579222"
"PTTD10AM0000","Q1580189"
"HK0013000119","Q15805"
"JP3139600005","Q1581562"
"FR0000120578","Q158205"
"DE000A0WMLD8","Q15821907"
"US8054233080","Q1582470"
"EGS48031C016","Q1583794"
"MYL5347OO009","Q1584297"
"GB00B82YXW83","Q15852770"
"US4130861093","Q1585599"
"SG1U68934629","Q1585610"
"DE0008019001","Q15857244"
"US4158641070","Q1586955"
"CZ0005078154","Q15870812"
"CS0009004452","Q1587563"
"JP3942800008","Q158888"
"JP3896800004","Q1589451"
"XS0510820011","Q1590386"
"KYG596691041","Q15907772"
"TW0002845005","Q15911143"
"TW0002884004","Q15912192"
"US46267X1081","Q15913890"
"KYG7800X1079","US80007R1059","Q15913951"
"US9314271084","Q1591889"
"US4208772016","Q1591976"
"US4222451001","Q1592340"
