Company name,Company ISIN,Headquarters,Region,Industry,Total score (max. 20),Human Rights (max. 10),Decent Work (max. 6),Ethical Conduct (max. 4),Transformation / Benchmark,Research period,Engagement Status ,UNGC Membership,Business Roundtable Membership,Food and Agriculture,Decarbonisation and Energy,Digital Inclusion,Nature and Biodiverisity,Urban,Finance,Gender,CHRB,Access to Seeds,Seafood Stewardship Index
Corteva Agriscience,US22052L1044,United States of America,North America,Agricultural Products,4,1.5,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,Yes,Yes,,,Yes,,,,,Yes,
Cosan,BRCSANACNOR6,Brazil,Latin America & Caribbean,Agricultural Products,5.5,2,1,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,,
Cosmo Energy Holdings,JP3298000005,Japan,East Asia & Pacific,Oil and Gas,6,3,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,,,
Costco,US22160K1051,United States of America,North America,Retail,5,3.5,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,Yes,,
Cosun,,Netherlands,Europe & Central Asia,Food & Beverage,4,2,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
"CPC Corporation, Taiwan",,"Taiwan, China",East Asia & Pacific,Oil and Gas,2,0,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
Cutrale (Chiquita),,Brazil,Latin America & Caribbean,Food & Beverage,2,0,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Daimler,DE0007100000,Germany,Europe & Central Asia,Automotive,11,7.5,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,,,,Yes,,
Dairy Farmers of America,,United States of America,North America,Food & Beverage,0.5,0,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Dangote Industries,,Nigeria,Sub-Saharan Africa,Conglomerates,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Danish Agro,,Denmark,Europe & Central Asia,Agricultural Products,3.5,1,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Danish Crown,,Denmark,Europe & Central Asia,Agricultural Products,7.5,4,1,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Danone,FR0000120644,France,Europe & Central Asia,Food & Beverage,14,9,2,3,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Darden Restaurants,US2371941053,United States of America,North America,Retail,4,2,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
De Heus,,Netherlands,Europe & Central Asia,Agricultural Products,3.5,1,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Deere & Co,US2441991054,United States of America,North America,Heavy Machinery & Electrical Equipment,5.5,3,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,Yes,Yes,,,Yes,,,,,,
Del Monte Pacific,VGG270541169,United States of America,North America,Food & Beverage,3,1,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Delivery Hero,DE000A2E4K43,Germany,Europe & Central Asia,Internet Media & Services,6.5,3.5,2,1,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,Yes,,,,,
Dell,US24703L2025,United States of America,North America,Hardware,7,3.5,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,
Deutsche Telekom,DE0005557508,Germany,Europe & Central Asia,Telecommunication Services,14,8,3,3,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Devon Energy Corp,US25179M1036,United States of America,North America,Oil and Gas,6,2.5,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Diageo,GB0002374006,United Kingdom,Europe & Central Asia,Food & Beverage,16,10,3,3,Food and Agriculture,31/05/2018 - 31/05/2021,Yes - CHRB,Yes,,Yes,,,Yes,,,,Yes,,
Digicel,,Jamaica,Latin America & Caribbean,Telecommunication Services,0,0,0,0,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Digital Realty Trust,US2538681030,United States of America,North America,Real Estate,5,2,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
DLG Group,,Denmark,Europe & Central Asia,Agricultural Products,1.5,0.5,0.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
DMK (Deutsches Milchkontor),,Germany,Europe & Central Asia,Food & Beverage,5.5,2.5,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Dole Food,US2566031017,United States of America,North America,Food & Beverage,4.5,3.5,0.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
Dominion Energy,US25746U1097,United States of America,North America,Electric Utilities,5,2,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,Yes,,,,,
Dongfeng Motor Group,CNE100000312,China,East Asia & Pacific,Automotive,0.5,0,0.5,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Dongwon Enterprise,,Republic of Korea,East Asia & Pacific,Food & Beverage,4,2,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,Yes
Driscoll's,,United States of America,North America,Food & Beverage,0.5,0,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
DSM,NL0000009827,Netherlands,Europe & Central Asia,Chemicals,9.5,4.5,2.5,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Duke Energy,US26441C2044,United States of America,North America,Electric Utilities,7,3,2,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,Yes,,Yes,,Yes,Yes,,,,,
E. Leclerc,,France,Europe & Central Asia,Retail,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
E.ON,DE000ENAG999,Germany,Europe & Central Asia,Electric Utilities,8.5,4,2.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,Yes,,,,,
eBay,US2786421030,United States of America,North America,E-commerce,6.5,3,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,Yes,,,,,,
Ebro Foods,ES0112501012,Spain,Europe & Central Asia,Food & Beverage,7.5,3,2.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Echostar, US2787681061,United States of America,North America,Hardware,0,0,0,0,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,,,,,,
ECOM Agroindustrial,,Switzerland,Europe & Central Asia,Agricultural Products,5.5,3,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Ecopetrol,COC04PA00016,Colombia,Latin America & Caribbean,Oil and Gas,14,9,2,3,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,,,,Yes,,
ED&F Man,,United Kingdom,Europe & Central Asia,Agricultural Products,6,3,0.5,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Edeka Zentrale,DE000A0EAL21,Germany,Europe & Central Asia,Retail,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
EDP Energias de Portugal,PTEDP0AM0009,Portugal,Europe & Central Asia,Electric Utilities,11.5,5.5,3,3,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,Yes,Yes,,,,,
Egyptian Electricity Holding Company (EEHC),,Egypt,Middle East & North Africa,Electric Utilities,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
Egyptian General Petroleum Corporation (EGPC),,Egypt,Middle East & North Africa,Oil and Gas,0,0,0,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
Électricité de France (EDF),FR0010242511,France,Europe & Central Asia,Electric Utilities,15.5,9,3.5,3,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,Yes,,,,,
Electricity Generating Authority of Thailand,TH0863010003,Thailand,East Asia & Pacific,Electric Utilities,2,0,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,Yes,,,,,
Eletrobras,BRELETACNPB7,Brazil,Latin America & Caribbean,Electric Utilities,9.5,4.5,2.5,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,Yes,,,,,
Elior Group,FR0011950732,France,Europe & Central Asia,Retail,2.5,0.5,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Elisa,FI0009007884,Finland,Europe & Central Asia,Telecommunication Services,5.5,2,2,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
E-Mart,KR7139480008,Republic of Korea,East Asia & Pacific,Retail,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Emirates National Oil Company (ENOC),,United Arab Emirates,Middle East & North Africa,Oil and Gas,4,2,1,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,,,
EnBW Energie Baden-Wuerttemberg,DE0005220008,Germany,Europe & Central Asia,Electric Utilities,7.5,3.5,2.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,Yes,,,,,
Enel,IT0003128367,Italy,Europe & Central Asia,Electric Utilities,12.5,7.5,3,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,Yes,,,,,
ENEOS Holdings,JP3386450005,Japan,East Asia & Pacific,Oil and Gas,7,3.5,2,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,,,,Yes,,
Engie,FR0010208488,France,Europe & Central Asia,Electric Utilities,11,7.5,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,Yes,,,,,
Engie,FR0010208488,France,Europe & Central Asia,Electric Utilities,11,7.5,1.5,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,Yes,,,,,
Eni,IT0003132476,Italy,Europe & Central Asia,Oil and Gas,15.5,10,2.5,3,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,,,,Yes,,
Enterprise Products Partners,US2937921078,United States of America,North America,Oil and Gas,4,2,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,Yes,,Yes,,Yes,,,,,,
EOG Resources,US26875P1012,United States of America,North America,Oil and Gas,4.5,3,1,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,,,,Yes,,,,,,Yes,,
"Equinix, Inc.",US29444U7000,United States of America,North America,Real Estate,6.5,3.5,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Equinor,NO0010096985,Norway,Europe & Central Asia,Oil and Gas,10,5.5,1.5,3,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,,,,Yes,,
Ericsson,SE0000108656,Sweden,Europe & Central Asia,Hardware,15,9.5,3,2.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,,
Eskom Holdings,US2964634099,South Africa,Sub-Saharan Africa,Electric Utilities,3.5,0,2,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,Yes,Yes,,,,,
Etisalat,AEE000401019,United Arab Emirates,Middle East & North Africa,Telecommunication Services,3,0,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
EUROCHEM,,Switzerland,Europe & Central Asia,Chemicals,4.5,2,0.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Eutelsat,FR0010221234,France,Europe & Central Asia,Telecommunication Services,4.5,1.5,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Evonik,DE000EVNK013,Germany,Europe & Central Asia,Chemicals,9,4.5,2,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
EW Group,,Germany,Europe & Central Asia,Food & Beverage,1,0,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Exelon Corporation,US30161N1019,United States of America,North America,Electric Utilities,5,2,2,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,Yes,,Yes,,,Yes,,,,,
Exxon Mobil,US30231G1022,United States of America,North America,Oil and Gas,5.5,2.5,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,,,,Yes,,Yes,,,,Yes,,
Ezaki Glico,JP3161200005,Japan,East Asia & Pacific,Food & Beverage,3.5,3,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
F.C.F Co. Ltd,,"Taiwan, China",East Asia & Pacific,Food & Beverage,1.5,1,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,Yes
Facebook,US30303M1027,United States of America,North America,Internet Media & Services,9.5,6,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Ferrero,,Luxembourg,Europe & Central Asia,Food & Beverage,12.5,9,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
FGV Holdings,MYL5222OO004,Malaysia,East Asia & Pacific,Agricultural Products,5.5,2,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Fiat Chrysler Automobiles,NL0010877643,United Kingdom,Europe & Central Asia,Automotive,8,4,1.5,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,,,,Yes,,,,,,Yes,,
Firmenich,,Switzerland,Europe & Central Asia,Food & Beverage,11.5,6,3,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Flour Mills of Nigeria,NGFLOURMILL0,Nigeria,Sub-Saharan Africa,Food & Beverage,2.5,0,1,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
FMC,US3024913036,United States of America,North America,Agricultural Products,7,4,1.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Fomento Económico Mexicano (FEMSA),MXP320321310,Mexico,Latin America & Caribbean,Food & Beverage,2.5,1,1,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,,,,,,,
Fonterra,NZFCGE0001S7,New Zealand,East Asia & Pacific,Food & Beverage,9.5,5,2,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Food Corporation of India (FCI),,India,South Asia,Agricultural Products,2,1,0,1,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,,,
Ford,US3453708600,United States of America,North America,Automotive,13,9.5,2,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,Yes,,Yes,,,,,,Yes,,
ForFarmers,NL0011832811,Netherlands,Europe & Central Asia,Agricultural Products,7.5,2.5,2.5,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Formosa Petrochemical Corp,TW0006505001,"Taiwan, China",East Asia & Pacific,Oil and Gas,2,0,1,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,,,,Yes,,,,,,,,
Fortum,FI0009007132,Finland,Europe & Central Asia,Electric Utilities,9,4.5,2,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,Yes,,,,,
Foxconn,TW0002317005,"Taiwan, China",East Asia & Pacific,Electronic Manufacturing Services & Original Design Manufacturing,3.5,2,0.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes - CHRB,,,,,Yes,Yes,Yes,,,Yes,,
FrieslandCampina,,Netherlands,Europe & Central Asia,Food & Beverage,10.5,6.5,2,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Fufeng Group,KYG368441195,China,East Asia & Pacific,Food & Beverage,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Fuji Oil Group,JP3816400000,Japan,East Asia & Pacific,Agricultural Products,10,8,1,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,,,,,,,
Fujian Sunner Development Corporation,CNE100000G78,China,East Asia & Pacific,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
GAIL (India),INE129A01019,India,South Asia,Oil and Gas,4,1,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,Yes,,,,,,
Galp Energia,PTGAL0AM0009,Portugal,Europe & Central Asia,Oil and Gas,9.5,4.5,2.5,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,,,
Gazprom,RU0007661625,Russian Federation,Europe & Central Asia,Oil and Gas,5,3,1.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes - CHRB,,,,Yes,,,,,,Yes,,
General Mills,US3703341046,United States of America,North America,Food & Beverage,10,8,1.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
General Motors Corporation (GM),US37045V1008,United States of America,North America,Automotive,7.5,3.5,2.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,Yes,,Yes,,,,,,Yes,,
George Weston (Weston Foods & Loblaw),CA9611485090,Canada,North America,Retail,2,0,1.5,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,,,,,Yes,,
Givaudan,CH0010645932,Switzerland,Europe & Central Asia,Food & Beverage,9,5.5,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
GlobalFoundries,,United States of America,North America,Semiconductors,7,3,2.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,Yes,,,,,,
Globe,PHY272571498,Philippines,East Asia & Pacific,Telecommunication Services,5,2,2,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
GoJek,,Indonesia,East Asia & Pacific,Internet Media & Services,2,0,1,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,Yes,,,,,
Golden Agri-Resources,MU0117U00026,Singapore,East Asia & Pacific,Agricultural Products,7.5,4.5,2,1,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Grab,,Singapore,East Asia & Pacific,Internet Media & Services,4,2,1,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,,,,,Yes,,Yes,,,,,
Graincorp,AU000000GNC9,Australia,East Asia & Pacific,Agricultural Products,6.5,3,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Great Wall Motor Company,CNE1000018V8,China,East Asia & Pacific,Automotive,1,0,1,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Greenyard,BE0003765790,Belgium,Europe & Central Asia,Food & Beverage,4.5,1,2,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Groupe Bigard,,France,Europe & Central Asia,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Groupe Casino,FR0000125585,France,Europe & Central Asia,Retail,12,7.5,2,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Groupe Pomona,,France,Europe & Central Asia,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Groupe PSA,FR0000121501,France,Europe & Central Asia,Automotive,11.5,8,2.5,1,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,,,,,Yes,,
GRUMA,MXP4948K1056,Mexico,Latin America & Caribbean,Food & Beverage,4,2,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Grupo Arcor,,Argentina,Latin America & Caribbean,Food & Beverage,1.5,0,1.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Grupo Bimbo,MXP495211262,Mexico,Latin America & Caribbean,Food & Beverage,8.5,4,1.5,3,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Grupo Lala,MX01LA040003,Mexico,Latin America & Caribbean,Food & Beverage,0.5,0,0,0.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Grupo Nutresa,COT04PA00028,Colombia,Latin America & Caribbean,Food & Beverage,3,1.5,0.5,1,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Gruppo Cremonini,IT0001282547,Italy,Europe & Central Asia,Food & Beverage,2,0,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Gruppo Veronesi,,Italy,Europe & Central Asia,Agricultural Products,1.5,0,1.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
GS Holdings,,Republic of Korea,East Asia & Pacific,Oil and Gas,2.5,2,0,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,Yes,,,,,,
GTT,US3623931009,United States of America,North America,Telecommunication Services,1.5,1,0,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Guangdong Haid Group,CNE100000HP8,China,East Asia & Pacific,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Guangzhou Automobile Group,CNE100001NQ2,China,East Asia & Pacific,Automotive,1,0,0.5,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Harim Holdings,KR7003380003,Republic of Korea,East Asia & Pacific,Food & Beverage,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
HCL,INE860A01027,India,South Asia,Software & IT Services,4,1,1.5,1.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Heineken,NL0000009165,Netherlands,Europe & Central Asia,Food & Beverage,14.5,9.5,2,3,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,Yes,,
Hellenic Petroleum,GRS298343005,Greece,Europe & Central Asia,Oil and Gas,3.5,0,1,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,,,,,,
Hess Corporation,US42809H1077,United States of America,North America,Oil and Gas,10,6,1.5,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,,,
Holly Frontier,US4361061082,United States of America,North America,Oil and Gas,6,3.5,1,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,,,
Honda Motor,JP3854600008,Japan,East Asia & Pacific,Automotive,5.5,4,1.5,0,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,,,,Yes,,,,,,Yes,,
Hormel Foods,US4404521001,United States of America,North America,Food & Beverage,7,3.5,1.5,2,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,Yes,,
HP,US40434L1052,United States of America,North America,Hardware,15.5,9.5,3,3,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,
Huawei,,China,East Asia & Pacific,Hardware,3.5,1,1.5,1,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,Yes,Yes,,,,,
Hyundai Motor Company,KR7000720003,Republic of Korea,East Asia & Pacific,Automotive,7.5,4,1,2.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,Yes,,
Iberdrola,ES0144580Y14,Spain,Europe & Central Asia,Electric Utilities,7,3,2,2,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,Yes,,,,,
IBM,US4592001014,United States of America,North America,Software & IT Services,4.5,1,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,,,Yes,,,Yes,Yes,Yes,,,,,
ICA Gruppen,SE0000652216,Sweden,Europe & Central Asia,Retail,5.5,2,1,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Idemitsu Kosan,JP3142500002,Japan,East Asia & Pacific,Oil and Gas,6.5,3.5,1.5,1.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,Yes,Yes,,,Yes,,Yes,,,,,,
iFlytek,CNE100000B81,China,East Asia & Pacific,Software & IT Services,0.5,0,0,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
Iliad,FR0004035913,France,Europe & Central Asia,Telecommunication Services,4.5,3,1,0.5,Digital Inclusion,30/09/2018 - 30/09/2021,,Yes,,,,Yes,,,,,,,
Indian Farmers Fertiliser Cooperative (IFFCO),,India,South Asia,Agricultural Products,0,0,0,0,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,,,Yes,,,Yes,,,,,,
Indian Oil Corporation (IndianOil),INE242A01010,India,South Asia,Oil and Gas,3.5,2,1,0.5,Decarbonisation and Energy,31/08/2018 - 31/08/2021,,Yes,,,Yes,,,,,,,,
INDOFOOD,ID1000057003,Indonesia,East Asia & Pacific,Food & Beverage,3,2.5,0.5,0,Food and Agriculture,31/05/2018 - 31/05/2021,Yes,Yes,,Yes,,,Yes,,,,,,
Infosys,INE009A01021,India,South Asia,Software & IT Services,8.5,4,2,2.5,Digital Inclusion,30/09/2018 - 30/09/2021,Yes,Yes,,,,Yes,,,,,,,
Inghams,AU000000ING6,Australia,East Asia & Pacific,Food & Beverage,5.5,2,1,2.5,Food and Agriculture,31/05/2018 - 31/05/2021,,,,Yes,,,Yes,,,,,,
Ingredion,US4571871023,United States of America,North America,Food & Beverage,8,6,0.5,1.5,Food and Agriculture,31/05/2018 - 31/05/2021,,Yes,,Yes,,,Yes,,,,,,
Inmarsat,,United Kingdom,Europe & Central Asia,Telecommunication Services,5.5,2,1.5,2,Digital Inclusion,30/09/2018 - 30/09/2021,,,,,,Yes,,,,,,,
