Company,Reason
Centene Corporation,Prison Involvement
"CoreCivic, Inc.",Prison Involvement
Ferrovial SA,Prison Involvement
G4S plc,Prison Involvement
Geo Group Inc,Prison Involvement
Lumen Technologies,Prison Involvement
Mitie Group plc,Prison Involvement
"Motorola Solutions, Inc.",Prison Involvement
NICE Ltd,Prison Involvement
Serco Group plc,Prison Involvement
"Sierra Wireless, Inc.",Prison Involvement
Sodexo S.A.,Prison Involvement
"SuperCom, Ltd.",Prison Involvement
Target Hospitality Corp.,Prison Involvement
The Providence Service Corporation,Prison Involvement
"Track Group, Inc.",Prison Involvement
Unisys Corporation,Prison Involvement
Western Union Company,Prison Involvement
3M Company,Prison Labor Involvement
Aramark,Prison Labor Involvement
Avery Dennison Corporation,Prison Labor Involvement
Berkshire Hathaway Inc.,Prison Labor Involvement
"Cardinal Health, Inc.",Prison Labor Involvement
Celanese Corporation,Prison Labor Involvement
Coats Group PLC,Prison Labor Involvement
Compass Group PLC,Prison Labor Involvement
"CoreCivic, Inc.",Prison Labor Involvement
Costco Wholesale Corporation,Prison Labor Involvement
Elior Group SA,Prison Labor Involvement
FedEx Corporation,Prison Labor Involvement
G4S plc,Prison Labor Involvement
Geo Group Inc,Prison Labor Involvement
Hardwoods Distribution Inc,Prison Labor Involvement
"Home Depot, Inc.",Prison Labor Involvement
Honeywell International Inc.,Prison Labor Involvement
International Paper Company,Prison Labor Involvement
KeyCorp,Prison Labor Involvement
Lectra SA,Prison Labor Involvement
"Leggett & Platt, Incorporated",Prison Labor Involvement
Linde PLC,Prison Labor Involvement
"Lowe's Companies, Inc.",Prison Labor Involvement
Nitta Gelatin Inc.,Prison Labor Involvement
Northrop Grumman Corporation,Prison Labor Involvement
Nutrien Ltd.,Prison Labor Involvement
Occidental Petroleum Corporation,Prison Labor Involvement
"Olympic Steel, Inc.",Prison Labor Involvement
"Pearson, Plc",Prison Labor Involvement
Performance Food Group Company,Prison Labor Involvement
Russel Metals Inc,Prison Labor Involvement
"Ryder System, Inc.",Prison Labor Involvement
Serco Group plc,Prison Labor Involvement
Sherwin-Williams Company,Prison Labor Involvement
Sodexo S.A.,Prison Labor Involvement
"Tyson Foods, Inc.",Prison Labor Involvement
Univar Inc.,Prison Labor Involvement
U.S. Bancorp,Prison Labor Involvement
Veritiv Corporation,Prison Labor Involvement
V.F. Corporation,Prison Labor Involvement
Virco Manufacturing Corporation,Prison Labor Involvement
Walmart Inc.,Prison Labor Involvement
Wells Fargo & Company,Prison Labor Involvement
"Acadia Healthcare Company, Inc.",Immigrant Detention
Accenture plc,Immigrant Detention
"Amazon.com, Inc.",Immigrant Detention
Aramark,Immigrant Detention
Boeing Company,Immigrant Detention
"CoreCivic, Inc.",Immigrant Detention
Elbit Systems Ltd.,Immigrant Detention
"FLIR Systems, Inc.",Immigrant Detention
G4S plc,Immigrant Detention
General Dynamics Corporation,Immigrant Detention
Geo Group Inc,Immigrant Detention
Granite Construction Incorporated,Immigrant Detention
Griffon Corporation,Immigrant Detention
International Business Machines Corporation,Immigrant Detention
"KBR, Inc.",Immigrant Detention
L3Harris Technologies Inc,Immigrant Detention
"Leidos Holdings, Inc.",Immigrant Detention
Lockheed Martin Corporation,Immigrant Detention
Microsoft Corporation,Immigrant Detention
"Motorola Solutions, Inc.",Immigrant Detention
NEC Corp,Immigrant Detention
Northrop Grumman Corporation,Immigrant Detention
"OSI Systems, Inc.",Immigrant Detention
Palantir Technologies Inc,Immigrant Detention
Raytheon Technologies Corporation,Immigrant Detention
RLI Corp.,Immigrant Detention
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Immigrant Detention
Smiths Group plc,Immigrant Detention
Sterling Construction Company Inc,Immigrant Detention
Target Hospitality Corp.,Immigrant Detention
Thales SA,Immigrant Detention
Thomson Reuters Corp,Immigrant Detention
Unisys Corporation,Immigrant Detention
3M Company,Occupied Territories
ABB Ltd,Occupied Territories
Ability Inc.,Occupied Territories
"ACS, Actividades de Construccion y Servicios, S.A.",Occupied Territories
Afcon Holdings Ltd,Occupied Territories
"AIRBNB, INC.",Occupied Territories
Alony-Hetz Properties & Investments Ltd.,Occupied Territories
Alphabet Inc.,Occupied Territories
Alstom SA,Occupied Territories
Altice Europe N.V.,Occupied Territories
Amir Marketing Ltd.,Occupied Territories
Amot Investments Ltd,Occupied Territories
Artivision Technologies Ltd.,Occupied Territories
Ashtrom Group Ltd,Occupied Territories
Asseco Poland SA,Occupied Territories
Atlas Copco AB,Occupied Territories
Avgol Industries Ltd.,Occupied Territories
BAE Systems plc,Occupied Territories
Bank Hapoalim B.M.,Occupied Territories
Bank Leumi le- Israel B.M.,Occupied Territories
Bank of Jerusalem Ltd,Occupied Territories
Baran Group Ltd.,Occupied Territories
Bezeq The Israel Telecommunication Corporation Limited,Occupied Territories
B Gaon Holdings Ltd,Occupied Territories
Boeing Company,Occupied Territories
"Bombardier, Inc.",Occupied Territories
Booking Holdings Inc.,Occupied Territories
B Yair Building Corporation 1988 Ltd,Occupied Territories
"Canon, Inc.",Occupied Territories
Capital Point Ltd,Occupied Territories
Castro Model Ltd,Occupied Territories
"Caterpillar, Inc.",Occupied Territories
"Cellcom Israel, Ltd.",Occupied Territories
Cemex S.A.B. de C.V.,Occupied Territories
Chevron Corporation,Occupied Territories
"Cisco Systems, Inc.",Occupied Territories
C. Mer Industries Ltd.,Occupied Territories
CNH Industrial N.V.,Occupied Territories
Construcciones y Auxiliar de Ferrocarriles SA,Occupied Territories
Delek Group Ltd.,Occupied Territories
Delta Galil Industries Ltd.,Occupied Territories
Doosan Co Ltd,Occupied Territories
Dor Alon Energy In Israel 1988 Ltd,Occupied Territories
DXC Technology Company,Occupied Territories
eDreams Odigeo SA,Occupied Territories
Elbit Systems Ltd.,Occupied Territories
Electra Ltd,Occupied Territories
Energix Renewable Energies Ltd,Occupied Territories
"Expedia Group, Inc.",Occupied Territories
Exxon Mobil Corporation,Occupied Territories
"Facebook, Inc.",Occupied Territories
First International Bank of Israel Ltd,Occupied Territories
"First Solar, Inc.",Occupied Territories
"FLIR Systems, Inc.",Occupied Territories
Ford Motor Company,Occupied Territories
Formula Systems (1985) Ltd.,Occupied Territories
Fosun International Limited,Occupied Territories
G1 SECURE SOLUTIONS LTD,Occupied Territories
G4S plc,Occupied Territories
Genasys Inc,Occupied Territories
General Dynamics Corporation,Occupied Territories
General Electric Company,Occupied Territories
"General Mills, Inc.",Occupied Territories
General Motors Company,Occupied Territories
Genie Energy Ltd.,Occupied Territories
Gilat Satellite Networks Ltd.,Occupied Territories
Hamat Group Ltd,Occupied Territories
HeidelbergCement AG,Occupied Territories
Hewlett Packard Enterprise Company,Occupied Territories
"Hitachi, Ltd.",Occupied Territories
Hyundai Heavy Industries Holdings Co Ltd,Occupied Territories
International Business Machines Corporation,Occupied Territories
Israel Discount Bank Ltd,Occupied Territories
JA Solar Technology Co Ltd,Occupied Territories
Kardan N.V. (Netherlands),Occupied Territories
Korea Shipbuilding &Offshore Engn Co Ltd,Occupied Territories
L3Harris Technologies Inc,Occupied Territories
Lapidoth Capital Ltd,Occupied Territories
Lesico Ltd,Occupied Territories
Lockheed Martin Corporation,Occupied Territories
Magal Security Systems Ltd.,Occupied Territories
Malam Team Ltd,Occupied Territories
Maman-Cargo Terminals & Handling Ltd.,Occupied Territories
Man Group Ltd,Occupied Territories
Manitou BF SA,Occupied Territories
Mega Or Holdings Ltd,Occupied Territories
MEHADRIN LTD,Occupied Territories
Meshulam Levinstein Contracting Ltd.,Occupied Territories
Microsoft Corporation,Occupied Territories
Minerals Technologies Inc.,Occupied Territories
Minrav Holdings Ltd,Occupied Territories
Mitsubishi Corp,Occupied Territories
MITSUBISHI MOTORS CORPORATION,Occupied Territories
Mivne Real Estate KD Ltd,Occupied Territories
Mizrahi Tefahot Bank Ltd.,Occupied Territories
Mordechai Aviv Taasiot Beniyah 1973 Ltd,Occupied Territories
"Motorola Solutions, Inc.",Occupied Territories
"Natuzzi, S.p.A.",Occupied Territories
Northrop Grumman Corporation,Occupied Territories
"Oaktree Capital Group, LLC",Occupied Territories
One Software Technologies Ltd,Occupied Territories
Orad Ltd,Occupied Territories
"Orbia Advance Corporation, S.A.B. de C.V.",Occupied Territories
Oron Group Investments & Hldg Ltd,Occupied Territories
"OSI Systems, Inc.",Occupied Territories
Palantir Technologies Inc,Occupied Territories
Partner Communications Company Ltd.,Occupied Territories
"PayPal Holdings, Inc.",Occupied Territories
Paz Oil Company Ltd,Occupied Territories
Perrigo Company PLC,Occupied Territories
Primo Water Corporation,Occupied Territories
Rami Levi Chain Stores Ltd,Occupied Territories
Raytheon Technologies Corporation,Occupied Territories
"RE/MAX Holdings, Inc.",Occupied Territories
Rotshtein Realestate Ltd,Occupied Territories
Salomon A Angel Ltd,Occupied Territories
Shapir Engineering and Industry Ltd,Occupied Territories
Shikun & Binui Ltd,Occupied Territories
Shufersal Ltd.,Occupied Territories
Shunfeng International Clean Energy Ltd,Occupied Territories
Siemens AG,Occupied Territories
"SolarEdge Technologies, Inc.",Occupied Territories
Sony Corporation,Occupied Territories
Taro Pharmaceutical Industries Ltd.,Occupied Territories
"Tempur Sealy International, Inc.",Occupied Territories
Terex Corporation,Occupied Territories
Teva Pharmaceutical Industries Limited,Occupied Territories
TIGBUR - TEMPORARY PROFESSIONAL PERSONNEL LTD,Occupied Territories
Toyota Motor Corp,Occupied Territories
"TripAdvisor, Inc.",Occupied Territories
Valero Energy Corporation,Occupied Territories
Villar International Ltd,Occupied Territories
Volvo AB,Occupied Territories
WSP Global Inc,Occupied Territories
"Wyndham Hotels & Resorts, Inc.",Occupied Territories
ZMH Hammerman Ltd,Occupied Territories
