"100amazonia.com","100-amazonia"
"EnrichHER.com","enrich-h-e-r"
"en.sj.dk","sren-jensen-consulting-engineers-sren-jensen-rdgivende-ingenirer"
"en.sycomore-am.com","sycomore-factory-sas"
"enufcanada.ca","enuf-services-inc"
"envato.com","envato"
"envestmicrofinance.org","envest-microfinance-public-benefit-corporation"
"en.wilderharrier.com","wilder-harrier"
"eqinvestors.co.uk","eq-investors"
"equanity.com","equanity-build-solidarity"
"equatorcoffees.com","equator-coffees-teas-inc"
"equinoxkombucha.com","flower-of-life-ltd-equinox-kombucha"
"erbaviva.com","erbaviva"
"erdbaer.de/","erdbär-gmbh"
"eska.com","eska-b-v"
"espacioshumanos.mykajabi.com","espacios-humanos"
"espaienergy.com","espai-energy"
"es.specialisterne.com","specialisterne-spain"
"esuitetalent.com.au","e-suite-talent"
"ethelo.com","ethelo"
"ethicalangel.com","ethical-angel"
"ethinvest.com.au","ethinvest"
"ev.energy","ev-dot-energy-limited"
"everootconsulting.com","everoot-consulting"
"exapd.com","exa-product-development"
"exceptionalalien.com","exceptional-alien"
"executive-coaching.co.uk","the-executive-coaching-consultancy"
"exhibithappy.com","steelhead-productions"
"experiencemomenta.com","momenta"
"experiencemomentum.com","experience-momentum-physical-therapy-nutrition-fitness"
"expertadviceonline.com","expert-advice-sleeping-lion"
"exponentbeauty.com","exponent-beauty-i-n-c"
"fair-square.ca","shop-fair-square-inc"
"farmlandlp.com","farmland-lp"
"feitobrasilcosmeticos.com.br","casa-feito-brasil"
"fellowcreatures.co.uk","fellow-creatures"
"fetzervineyards.com","fetzer-vineyards"
"ffla.com.au","fitzgerald-frisby-landscape-architecture"
"ffutures.com.au","ffutures"
"firstwealth.co.uk","first-wealth-london-limited"
"fivevcapital.com","five-v-capital"
"flipgive.com","flipgive"
"flordedonana.com","flor-de-doñana"
"flowimpact.com","flow-impact"
"fodyfoods.com","fody-foods"
"fokusgreen.com","fokus-green"
"foodmesh.ca","mesh-exchange-dba-food-mesh"
"forepartnership.com","fore-advisors-llp"
"forestreet.com","forestreet-ltd"
"formnutrition.com","form"
"forrestfirm.com","forrest-firm-pc"
"forwardthinkingdesign.com.au","forward-thinking-design"
"foxandhare.co/","fox-and-hare-group-ltd"
"fp-financial.com","first-pacific-financial"
"fraenck.com","fraenck"
"framme.com","framme"
"freemet.cl","freemet-comercial-spa"
"freerangefuture.com","freerange-future"
"freestar.co","freestar-drinks-ltd"
"freshprep.ca","fresh-prep-foods-inc"
"frey.fr","f-r-e-y"
"frontiersnorth.com","frontiers-north-adventures"
"ftjco.com","fair-trade-jewellery-co"
"fullcirclebrands.com","full-circle-home"
"fullcirclefunerals.co.uk/funeral-directors-leeds","full-circle-funerals"
"fullstopaccounts.co.uk","full-stop-accounts"
"futurefriendly.team","future-friendly"
"gadellnet.com","gadell-net-consulting-services"
"gasstudio.co.uk","gas-brand-studio-ltd"
"genexa.com","genexa"
"germinal.it","germinal-bio"
"getengen.com","en-gen"
"getfrank.com","frank"
"gethomethings.com","homethings"
"getwelly.com","welly-health-pbc"
"gfi.nz","greenfern-industries"
"gibbonswhistler.com","gibbons-whistler"
"gideb.com","descry"
"giftsforchange.fr","gifts-for-change"
"givily.com","givily"
"goaxial.com","axial"
"gobeyond.com.cn","gobeyond"
"goldfarbfinancial.com","goldfarb-financial"
"goncalves.com.br","gonalves-brasil"
"gongcommunications.com","gong-communications"
"goodandwell.ca","good-well"
"goodcycle.cn","plastic-ecological-transformation"
"goodments.com","goodments-pty-ltd"
"goodmustgrow.com","goodmustgrow-llc"
"goodplanet.green","good-planet-innovation"
"goood.de","goood-network-holding-ag"
"goparity.com/en","power-parity-lda"
"gosteward.com","steward-holdings-us-inc-a-public-benefit-corporation"
"graduationalliance.com","graduation-alliance-inc"
"gramm.ca","solutions-d-affaires-g-r-a-m-m"
"gravitylab.nz","gravity-lab-ltd"
"graze.com","graze"
"greencirclesalons.com","green-circle-salons"
"greencitygrowers.com","green-city-growers"
"greendropgarage.com","green-drop-garage"
"greenjobs.nl","the-sustainable-recruiter-greenjobs"
"greenplanetbf.com","greenplanet-bio-fuels"
"greystonbakery.com","greyston-bakery-inc"
"groundsforchange.com","grounds-change"
"grubby.co.uk","grubby"
"grupogaia.com.br","grupo-gaia"
"grupomitre.com.ar","grupo-mitre"
"gruposad.com.mx","suministros-analogico-digitales-s-de-rl"
"guayaki.com","guayaki-sustainable-rainforest-products"
"gxg.ai","griswold-and-griswold-insurance-agency"
"haintbluebrew.com","haint-blue-brewing-company"
"hairjamm.com","hairjamm-pty-ltd"
"handsomebrookfarms.com","handsome-brook-farms"
"hannun.com","hannun"
"hansonbridgett.com","hanson-bridgett-llp"
"happiful.com","happiful"
"happyearthapparel.com","happy-earth-apparel"
"happyvalleymeat.com","happy-valley-meat-company"
"Hattiers.com","hattiers-rum"
"hawaiianpaddlesports.com","hawaiian-paddle-sports-llc"
"hcp.fi/en","hcp.fi/en"
"hdfaber.com/es","hdfaber-piensa-disea-fabrica"
"headwaterfoodhub.com","headwater-foods"
"healthyhumanlife.com","healthy-human-l-l-c"
"heartinbusiness.org","heart-in-business-limited"
"helloklyk.com","klyk"
"helloworlddevs.com","hello-world"
"hemmingshouse.com","hemmings-house"
"hessey.ca","hessey-consulting-architecture-inc"
"heurafoods.com","foods-for-tomorrow"
"heyshoot.cc","s-h-o-o-t"
"hh-inc.ca","hobehosokawa-inc"
"highergroundstrading.com","higher-grounds-trading-company"
"highparkbrewery.com","high-park-brewery"
"hilaryseatwell.com","hilarys-eat-well"
"hippiesnacks.com","left-coast-naturals"
"homecareassociatespa.com","home-care-associates-of-philadelphia-inc"
"honestmobile.co.uk","honest-enterprises-ltd"
"honeyflow.com","beeinventive-pty-ltd"
"hoodtocoast.com","hood-to-coast-relay"
"hooton.co","hooton"
"hopworksbeer.com","hopworks-urban-brewery"
"houseofhackney.com","house-of-hackney"
"houwzer.com","houwzer"
"hpaulsenconsulting.com","heather-paulsen-consulting"
"hra-global.com","hra-global"
"http://geowise.com.cn","shanghai-geowise-co-ltd-trading-as-geowise"
"http://salus.com.uy/","compania-salus"
"https://asgreen.cl/","asgreen-ingeniera-sustentable"
"https://au.olliella.com/","olli-ella"
"https://bigcatagency.com","big-cat"
"https://corazondenino.com.co/","nio-mgico-sas"
"https://darkwoodscoffee.co.uk/","dark-woods-coffee-ltd"
"https://edmire.design","edmire"
"https://gatewayprocurement.co.uk/software/","gateway-procurement-services-limited"
"https://manukora.com/","manukora-limited"
"https://oohchacha.com","ooh-cha-cha-llc"
"https://provi.com.br/","provi"
"https://reefecologic.org/about/","reef-ecologic"
"https://secrid.com/en-nl/","secrid-b-v"
"https://shift-insight.co.uk","shift-insight"
"https://shinefromwithin.com.au","shine-from-within"
"https://therefinery.house/","the-refinery-house"
"https://transcendent.es/","transcendent"
"https://upparel.com.au/","u-p-p-a-r-e-l"
"https://urb-it.com/","urbit"
"https://vertmonde.com/","vertmonde"
"https://wakefield.agency","wakefield-agency"
"https://www.alluvium.com.au/","alluvium-consulting"
"https://www.bioksan.com","bioksan-naturalmente-juntos"
"https://www.bioticbrands.com/","biotic-brands-s-p-c"
"https://www.brewdog.com/uk/","brew-dog"
"https://www.casafranceschi.com","grupo-san-jos"
"https://www.dentistsatmahogany.com","dental-smile-design-at-mahogany"
"https://www.ethicalswag.com/","ethical-swag-inc"
"https://www.faithfullthebrand.com/","faithfull-the-brand"
"https://www.givlocal.com/","giv-local"
"https://www.happyfamilyorganics.com/","happy-family-brands"
"https://www.miimosa.com","mii-m-o-s-a"
"https://www.optimising.com.au/","optimising"
"https://www.safetychampion.com.au/","safety-champion-software"
"https://www.semtrio.com/en","semtrio"
"https://www.southpole.com/","south-pole-usa-inc"
"https://www.sweetorigins.com","sweet-origins"
"https://www.symmetrix.ca/","symmetrix-exercise-rehab"
"https://www.vestergaard.com/","vestergaard"
"http://www.greening-rca.cl/","greening-sp-a"
"http://www.yssy.com.br/","yssy-tecnologia-sa"
"http://www.zizaimedia.com/","being-art-space"
"humanafterall.studio","human-after-all"
"humaninvesting.com","human-investing"
"humanityfinancial.ca","humanity-financial-management-inc"
"humphreysgroup.com","the-humphreys-group"
"hyginova.com","hyginova"
"hyloathletics.com","hylo-athletics"
"hypenotic.com","hypenotic"
"iamrunbox.com","i-a-m-r-u-n-b-o-x"
"ianmartin.com","ian-martin-group"
"icestoneusa.com","icestone"
"idealistconsulting.com","idealist-consulting"
"ig4capital.com","ig4-capital"
"imaginableforgood.com","imaginable"
"imanidevelopment.com","imani-development"
"ImpactAdvisor.com#B","impactadvisor-llc"
"impact.bullhorncreative.com","bullhorn"
"impactrip.com","social-impactrip-lda"
"imperative.com","imperative"
"impossible.com","impossible-labs"
"inclusivetrade.com","inclusive-trade-ltd"
"inclusivv.co","civic-dinners-inc-dba-inclusivv"
"ingagepartners.com","ingage-partners-llc"
"innersensebeauty.com","innersense-organic-beauty"
"innocentdrinks.com","innocent-drinks"
"inspiredadventures.com.au","inspired-adventures"
"integrarse.com.mx","zeco-integraciones-sa-de-cv"
"intrigueme.ca","intrigue"
"investwithwillow.com","willow-investments-for-loving-change"
"ireneforteskincare.com","forte-organics-ltd"
"isahit.com","isahit-s-a-s"
"isolabio.com/en","abafoods"
"jackandferdi.com","jack-and-ferdi"
"jamesandcovegan.net","james-co-australia-pty-ltd"
"jayabeauty.com","j-a-y-a-beauty-ltd"
"jenis.com","jenis-splendid-ice-creams"
"jennykassan.com","jenny-kassan-consulting"
"jettylife.com","jetty"
"jimsorganiccoffee.com","jims-organic-coffee"
"journeyswithpurpose.org","journeys-with-purpose"
"jubelbeer.com","jubel-beer"
"justmovein.com","just-move-in"
"justos.ca","justos-plant-based-dips"
"kaffebueno.com","kaffe-bueno-ap-s"
"kalsec.com","kalsec"
"karststonepaper.com","karst-stone-paper"
"katedixon.org","dixon-consulting"
"keepcup.com","keepcup"
"KidGlov.com","kid-glov"
"kilaracapital.com","kilara-management-pty-tas-kilara-capital"
"kingarthurbaking.com","king-arthur-baking-company"
"kingdomandsparrow.co.uk","kingdom-and-sparrow"
"kingscross.impacthub.net","the-hub-kings-cross-ltd"
"koala.com","koala"
"kokolu.eco","k-o-k-o-l-u"
"kosloffarchitecture.com","kosloff-architecture"
"kregel-cpa.com","kregel-company-cpa"
"kriskincare.com","kri-skincare"
"kx.havas.com/havas-london/","havas-london"
"laciudadposible.net","la-ciudad-posible-srl"
"lafes.com","lafes"
"lakaa.io","lakaa"
"lalaiterieduberger.wordpress.com","la-laiterie-du-berger"
"lamaisoncreativedirection.ch","la-maison-creative-direction"
"lancliving.com","lanc-living-realty"
"laridaemc.com","laridae-communications-inc"
"larryscoffee.com","larrys-coffee"
"laruchequiditoui.fr/fr","la-ruche-qui-dit-oui"
"learningtoachieve.co.uk","walshs-learning-to-achieve-ltd"
"leatherheart.fun","leather-heart"
"left.io","left"
"legumesperches.ch","lgumes-perchs-srl"
"libelula.com.pe","libelula-gestion-en-cambio-climatico-y-comunicacion"
"liberty.com.au","liberty-financial"
"lifewithoutplastic.com","life-without-plastic"
"lightwarrior.com","light-warrior"
"limered.io","limered-studio"
"limpiolux.com.ar","limpiolux"
"liquid-blue.com","liquid-blue"
"littleyellowbird.co.nz","little-yellow-bird"
"livesozy.com","sozy"
"livezoku.com","zoku"
"locomote.com","locomote"
"longrunshoes.com","long-run"
"lovatparks.com","lovat-parks"
"lovevery.com","lovevery"
"Luminary.com","luminary"
"lumni.net/","lumni-chile"
"lusciousgarage.com","luscious-garage"
"maanch.com","maanch"
"mackayceoforums.com","mac-kay-ceo-forums"
"madebykind.com","kind"
"madeopen.co.uk","made-open"
"maineworks.us","maineworks-llc"
"makersmark.com","makers-mark-distillery"
"malleablejewellers.ca","malleable-jewellers"
"mammachia.com","mamma-chia"
"managementresources.biz","management-resources"
"mangrove-web.com","mangrove-web-development"
"manossoap.com","manos-soap-co"
"manoverboard.com","manoverboard-inc"
"maprealestate.com","map-real-estate"
"marcelzanolari.com","cvlt-coopagr-zanolari"
"marenjewellery.com","maren-jewellery"
"marigold-capital.com","marigold-capital"
"marketingsustentavel.com.br","marketing-sustentvel"
"marvellousmaps.com","marvellous-maps-squeaky-wheels-ltd"
"maveron.com","maveron-l-l-c"
"mayunowa.co.jp","mayunowa-llc"
"maze-impact.com","m-a-z-e-decoding-impact"
"mbojao.com.py","mbojao"
"mcm-uk.com","m-c-m"
"mcreative.net","m-creative"
"mediaperformances.net","mediaperformances"
"meowmeowtweet.com","meow-meow-tweet-llc"
"mialuna.cl","mialuna"
"micappital.com","micappital-2017-eaf-sl"
"miei.com.au","miei-fiori"
"mightybytes.com","mightybytes-inc"
"miir.com","miir-inc"
"mikunafoods.com","mikuna"
"milan.impacthub.net","the-hub-srl-impact-hub-milano"
"milgromlaw.com","milgrom-daskam"
"mills.ca","mills-office-productivity"
"miniature.com","m-a-t-aps"
"minorfigures.com","minor-figures"
"miomojo.com","miomojo-srl"
"mission.partners","mission-partners"
"mivineride.com","vine-ride"
"mktcommunications.com.au","mkt-communications"
"mlh.io","major-league-hacking-mlh"
"mmercerconsulting.com","mmercer-consulting"
"mobsquad.io","mob-squad"
"ModusPersona.com","modus-persona"
"mondora.com","mondora"
"mortgage360.ca","mortgage360"
"motherlove.com","motherlove-herbal-company"
"moveforwardlancaster.com","move-forward-counseling"
"mpgsport.com","mondetta-canada-inc"
"","m-t-art-agency"
"mullenlowesalt.com","mullenlowe-salt"
"mycnote.com","cnote-group-inc"
"myhappymind.org","y-happymind"
"mynico.com","nico"
"myocosmeticcases.com","myo-cosmetic-cases-inc"
"myrosebuddha.com","rose-buddha"
"mzfairtrade.com","manos-zapotecas-holdings-inc"
"naakbar.com","n-a-a-k-i-n-c"
"narrativefood.com","out-of-the-box-collective"
