"acnb.com","Gettysburg, PA","201 to 500 Employees","Company - Public (ACNB)","$50 to $100 million (USD)"
"adamaspharma.com","Emeryville, CA","51 to 200 Employees","Company - Public (ADMS)","$25 to $50 million (USD)"
"adamsmithinternational.com","London, United Kingdom","1 to 50 Employees","Company - Private","$100 to $500 million (USD)"
"adamsresources.com","Houston, TX","501 to 1000 Employees","Company - Public (AE)","$1 to $2 billion (USD)"
"adc.com","Eden Prairie, MN","5001 to 10000 Employees","Company - Public","$5 to $10 million (USD)"
"admabiologics.com","Ramsey, NJ","201 to 500 Employees","Company - Public (ADMA)","$25 to $50 million (USD)"
"adobe.com","San Jose, CA","10000+ Employees","Company - Public (ADBE)","$5 to $10 billion (USD)"
"ads-pipe.com","Hilliard, OH","1001 to 5000 Employees","Company - Public (WMS)","$1 to $2 billion (USD)"
"adtalem.com","Chicago, IL","1001 to 5000 Employees","Company - Public (ATGE)","$1 to $2 billion (USD)"
"advanceddisposal.com","Ponte Vedra, FL","5001 to 10000 Employees","Company - Public (ADSW)","$1 to $2 billion (USD)"
"adverum.com","Redwood City, CA","51 to 200 Employees","Company - Public (ADVM)","Less than $1 million (USD)"
"advisorshares.com","Bethesda, MD","51 to 200 Employees","Company - Private","Unknown / Non-Applicable"
"aegion.com","Chesterfield, MO","1001 to 5000 Employees","Company - Public (AEGN)","$1 to $2 billion (USD)"
"aegon.com","The Hague, Netherlands","10000+ Employees","Company - Public (AEG)","$10+ billion (USD)"
"aep.com","Columbus, OH","10000+ Employees","Company - Public (AEP)","$10+ billion (USD)"
"aepinc.com","Montvale, NJ","1001 to 5000 Employees","Company - Public (AEPI)","$1 to $2 billion (USD)"
"aeriepharma.com","Irvine, CA","1 to 50 Employees","Company - Private","$10 to $25 million (USD)"
"aerohive.com","Milpitas, CA","501 to 1000 Employees","Company - Public (HIVE)","$100 to $500 million (USD)"
"afginc.com","Cincinnati, OH","5001 to 10000 Employees","Company - Public (AFG)","$5 to $10 billion (USD)"
"aflac.com","Columbus, GA","10000+ Employees","Company - Public (AFL)","$10+ billion (USD)"
"agilityfuelsolutions.com","Costa Mesa, CA","201 to 500 Employees","Company - Private","Unknown / Non-Applicable"
"agilysys.com","Alpharetta, GA","1001 to 5000 Employees","Company - Public (AGYS)","$100 to $500 million (USD)"
"agios.com","Cambridge, MA","201 to 500 Employees","Company - Public (AGIO)","$50 to $100 million (USD)"
"agrofresh.com","Philadelphia, PA","201 to 500 Employees","Company - Public (AGFS)","$100 to $500 million (USD)"
"agtc.com","Alachua, FL","51 to 200 Employees","Company - Public (AGTC)","Less than $1 million (USD)"
"ah4r.com","Calabasas, CA","1001 to 5000 Employees","Company - Public (AMH)","$500 million to $1 billion (USD)"
"aikidoofmarin.com","Fairfax, CA","1 to 50 Employees","Company - Private","Unknown / Non-Applicable"
"airgas.com","Radnor, PA","10000+ Employees","Company - Public","$5 to $10 billion (USD)"
"airmethods.com","Greenwood Village, CO","5001 to 10000 Employees","Company - Private","$1 to $2 billion (USD)"
"airproducts.com","Allentown, PA","10000+ Employees","Company - Public (APD)","$5 to $10 million (USD)"
"airt.net","Denver, NC","501 to 1000 Employees","Company - Public (AIRT)","$100 to $500 million (USD)"
"ajg.com","Rolling Meadows, IL","10000+ Employees","Company - Public (AJG)","$2 to $5 billion (USD)"
"akebia.com","Cambridge, MA","201 to 500 Employees","Company - Public (AKBA)","Unknown / Non-Applicable"
"akoustis.com","Huntersville, NC","1 to 50 Employees","Company - Public","Unknown / Non-Applicable"
"albea-group.com","Gennevilliers, France","10000+ Employees","Company - Private","$1 to $2 billion (USD)"
"alberto.com","Englewood Cliffs, NJ","1001 to 5000 Employees","Subsidiary or Business Segment","$100 to $500 million (USD)"
"albint.com","Rochester, NH","1001 to 5000 Employees","Company - Public (AIN)","$2 to $5 billion (USD)"
"alcentra.com","London, United Kingdom","1 to 50 Employees","Company - Private","$50 to $100 million (USD)"
"alcoa.com","Pittsburgh, PA","10000+ Employees","Company - Public (AA)","$10+ billion (USD)"
"alcobrametals.com","Spokane, WA","1 to 50 Employees","Company - Private","$5 to $10 million (USD)"
"alderbio.com","Bothell, WA","201 to 500 Employees","Company - Public","Unknown / Non-Applicable"
"alerus.com","Grand Forks, ND","501 to 1000 Employees","Company - Public (ALRS)","$100 to $500 million (USD)"
"alexanderbaldwin.com","Honolulu, HI","1001 to 5000 Employees","Company - Public (ALEX)","$100 to $500 million (USD)"
"alibabagroup.com","Hangzhou, China","1001 to 5000 Employees","Company - Public (BABA)","$10+ billion (USD)"
"alicoinc.com","Fort Myers, FL","201 to 500 Employees","Company - Public (ALCO)","$100 to $500 million (USD)"
"alkaline88.com","Scottsdale, AZ","1 to 50 Employees","Company - Public","Unknown / Non-Applicable"
"alleghany.com","New York, NY","1001 to 5000 Employees","Company - Public (Y)","$5 to $10 billion (USD)"
"alleghenyenergy.com","Greensburg, PA","1001 to 5000 Employees","Subsidiary or Business Segment","$2 to $5 billion (USD)"
"allergan.com","Dublin, Ireland","10000+ Employees","Company - Public (AGN)","$10+ billion (USD)"
"allete.com","Duluth, MN","1001 to 5000 Employees","Company - Public (ALE)","$500 million to $1 billion (USD)"
"alliancebernstein.com","Nashville, NY","1001 to 5000 Employees","Company - Public","$2 to $5 billion (USD)"
"alliancehealthcareservices-us.com","Irvine, CA","1001 to 5000 Employees","Company - Public","$500 million to $1 billion (USD)"
"alliantenergy.com","Madison, WI","1001 to 5000 Employees","Company - Public (LNT)","$2 to $5 billion (USD)"
"alliedmotion.com","Amherst, NY","1001 to 5000 Employees","Company - Public (AMOT)","$100 to $500 million (USD)"
"ally.com","Detroit, MI","10000+ Employees","Company - Public (ALLY)","$5 to $10 billion (USD)"
"almostfamily.com","Louisville, KY","10000+ Employees","Company - Public (AFAM)","$500 million to $1 billion (USD)"
"alonusa.com","Dallas, TX","1001 to 5000 Employees","Company - Public (ALJ)","$2 to $5 billion (USD)"
"alpsinsurance.com","Missoula, MT","51 to 200 Employees","Company - Private","$25 to $50 million (USD)"
"alsic.com","Norton, MA","51 to 200 Employees","Company - Public (CPSH)","$10 to $25 million (USD)"
"altera.com","San Jose, CA","1001 to 5000 Employees","Company - Public (ALTR)","$1 to $2 billion (USD)"
"alticeusacareers.com/","Long Island City, NY","10000+ Employees","Company - Public (ATUS)","$5 to $10 billion (USD)"
"altria.com","Richmond, VA","5001 to 10000 Employees","Company - Public (MO)","$10+ billion (USD)"
"alx-inc.com","Paramus, NJ","51 to 200 Employees","Company - Public (ALX)","$100 to $500 million (USD)"
"amacalert.com","Oceanside, NY","501 to 1000 Employees","Subsidiary or Business Segment","$25 to $50 million (USD)"
"amagpharma.com","Waltham, MA","501 to 1000 Employees","Company - Public (AMAG)","$500 million to $1 billion (USD)"
"amark.com","El Segundo, CA","51 to 200 Employees","Company - Public (AMRK)","$5 to $10 billion (USD)"
"ambarella.com","Santa Clara, CA","501 to 1000 Employees","Company - Public (AMBA)","$100 to $500 million (USD)"
"amberroadtravel.co.uk","Manchester, United Kingdom","51 to 200 Employees","Company - Private","Unknown / Non-Applicable"
"ambrx.com","La Jolla, CA","51 to 200 Employees","Company - Public (AMAM)","$10 to $25 million (USD)"
"amcol.com","Hoffman Estates, IL","1001 to 5000 Employees","Company - Public","$500 million to $1 billion (USD)"
"amd.com","Santa Clara, CA","5001 to 10000 Employees","Company - Public (AMD)","$2 to $5 billion (USD)"
"amecfw.com","London, United Kingdom","10000+ Employees","Company - Public (AMFW)","$5 to $10 billion (USD)"
"amerco.com","Reno, NV","10000+ Employees","Company - Public (UHAL)","$2 to $5 billion (USD)"
"ameren.com","Saint Louis, MO","5001 to 10000 Employees","Company - Public (AEE)","$5 to $10 billion (USD)"
"ameriana.com","New Castle, IN","51 to 200 Employees","Company - Public (ASBI)","$10 to $25 million (USD)"
"americafirst.com","Ogden, UT","1001 to 5000 Employees","Non-profit Organisation","$100 to $500 million (USD)"
"americanexpress.com","New York, NY","10000+ Employees","Company - Public (AXP)","$10+ billion (USD)"
"americanindependencecorp.com","New York, NY","51 to 200 Employees","Company - Public (AMIC)","$100 to $500 million (USD)"
"americannational.com","Galveston, TX","1001 to 5000 Employees","Company - Public (ANAT)","$2 to $5 billion (USD)"
"americanphysician.com","Westmont, IL","1 to 50 Employees","Company - Private","$5 to $10 million (USD)"
"americanresidentialproperties.com","Scottsdale, AZ","51 to 200 Employees","Company - Public (ARPI)","Unknown / Non-Applicable"
"americanstateswatercompany.gcs-web.com","San Dimas, CA","501 to 1000 Employees","Company - Public (AWR)","$100 to $500 million (USD)"
"american-vanguard.com","Newport Beach, CA","201 to 500 Employees","Company - Public (AVD)","$100 to $500 million (USD)"
"americanwoodmark.com","Winchester, VA","10000+ Employees","Company - Public (AMWD)","$1 to $2 billion (USD)"
"ametek.com","Berwyn, PA","10000+ Employees","Company - Public (AME)","$5 to $10 billion (USD)"
"amgen.com","Thousand Oaks, CA","10000+ Employees","Company - Public (AMGN)","$10+ billion (USD)"
"amnb.com","Danville, VA","201 to 500 Employees","Company - Public (AMNB)","$50 to $100 million (USD)"
"amneal.com","Bridgewater, NJ","5001 to 10000 Employees","Company - Public (AMRX)","$1 to $2 billion (USD)"
"ampcopgh.com","Carnegie, PA","1001 to 5000 Employees","Company - Public (AP)","$100 to $500 million (USD)"
"amphastar.com","Rancho Cucamonga, CA","1001 to 5000 Employees","Company - Public (AMPH)","$100 to $500 million (USD)"
"amphenol.com","Wallingford, CT","10000+ Employees","Company - Public (APH)","$5 to $10 billion (USD)"
"amrepcorp.com","Princeton, NJ","501 to 1000 Employees","Company - Public (AXR)","$25 to $50 million (USD)"
"amsoftware.com","Atlanta, GA","501 to 1000 Employees","Company - Public (AMSWA)","$100 to $500 million (USD)"
"amtechsystems.com","Tempe, AZ","201 to 500 Employees","Company - Public (ASYS)","$100 to $500 million (USD)"
"anadarko.com","The Woodlands, TX","1001 to 5000 Employees","Company - Public (APC)","$10+ billion (USD)"
"analogic.com","Peabody, MA","501 to 1000 Employees","Company - Private","$500 million to $1 billion (USD)"
"analysts.com","Minneapolis, MN","501 to 1000 Employees","Company - Public","$100 to $500 million (USD)"
"anaren.com","East Syracuse, NY","501 to 1000 Employees","Company - Private","$100 to $500 million (USD)"
"andeavor.com","San Antonio, TX","10000+ Employees","Company - Public (ANDV)","Unknown / Non-Applicable"
"andersonsinc.com","Maumee, OH","1001 to 5000 Employees","Company - Public (ANDE)","$2 to $5 billion (USD)"
"angion.com","Manhasset, NY","1 to 50 Employees","Company - Public (ANGN)","$1 to $5 million (USD)"
"anglogoldashanti.com","Johannesburg, South Africa","10000+ Employees","Company - Public (AU)","$10+ billion (USD)"
"anipharmaceuticals.com","Baudette, MN","51 to 200 Employees","Company - Public (ANIP)","Unknown / Non-Applicable"
"anixa.com","San Jose, CA","1 to 50 Employees","Company - Public","Unknown / Non-Applicable"
"anixter.com","Glenview, IL","5001 to 10000 Employees","Company - Public (AXE)","$5 to $10 billion (USD)"
"antennas.com","Deland, FL","501 to 1000 Employees","Company - Public (ARCW)","$100 to $500 million (USD)"
"anterix.com","Woodland Park, NJ","51 to 200 Employees","Company - Public (ATEX)","Unknown / Non-Applicable"
"anteroresources.com","Denver, CO","501 to 1000 Employees","Company - Public (AR)","$1 to $2 billion (USD)"
"ao-inc.com","Sugar Land, TX","1001 to 5000 Employees","Company - Public (AAOI)","$100 to $500 million (USD)"
"aon.com","London, United Kingdom","10000+ Employees","Company - Public (AON)","$10+ billion (USD)"
"aosmith.com","Milwaukee, WI","10000+ Employees","Company - Public (AOS)","$2 to $5 billion (USD)"
"apachecorp.com","Houston, TX","1001 to 5000 Employees","Company - Public (APA)","$10+ billion (USD)"
"apcoholdings.com","Norcross, GA","201 to 500 Employees","Company - Private","$100 to $500 million (USD)"
"apfc.com","Cedar City, UT","51 to 200 Employees","Company - Public","$100 to $500 million (USD)"
"api.org","Washington, DC","201 to 500 Employees","Self-employed","$100 to $500 million (USD)"
"apog.com","Minneapolis, MN","5001 to 10000 Employees","Company - Public (APOG)","$1 to $2 billion (USD)"
"apollo.com","New York, NY","1001 to 5000 Employees","Company - Public (APO)","$1 to $2 billion (USD)"
"apple.com","Cupertino, CA","10000+ Employees","Company - Public (AAPL)","$10+ billion (USD)"
"applied.com","Cleveland, OH","5001 to 10000 Employees","Company - Public (AIT)","$2 to $5 billion (USD)"
"appliedmaterials.com","Santa Clara, CA","10000+ Employees","Company - Public (AMAT)","$10+ billion (USD)"
"apyxmedical.com","Clearwater, FL","201 to 500 Employees","Company - Public","Unknown / Non-Applicable"
"aracapital.com","Los Angeles, CA","51 to 200 Employees","Company - Private","$25 to $50 million (USD)"
"aragen.com","Hyderābād, India","1001 to 5000 Employees","Company - Private","$100 to $500 million (USD)"
"aratana.com","Leawood, KS","51 to 200 Employees","Company - Public","Less than $1 million (USD)"
"arcb.com","Fort Smith, AR","10000+ Employees","Company - Public (ARCB)","$2 to $5 billion (USD)"
"archerwell.com/page/31/allis-chalmers-energy.htm","Houston, TX","1001 to 5000 Employees","Subsidiary or Business Segment","$500 million to $1 billion (USD)"
"archresourcesgroup.com","Los Angeles, CA","501 to 1000 Employees","Company - Private","Unknown / Non-Applicable"
"archstoneapartments.com","Englewood, CO","1001 to 5000 Employees","Company - Private","Less than $1 million (USD)"
"ardelyx.com","Fremont, CA","51 to 200 Employees","Company - Private","$10 to $25 million (USD)"
"ardmoreshipping.com","Cork, Ireland","1 to 50 Employees","Unknown","Unknown / Non-Applicable"
"aresmgmt.com","Los Angeles, CA","1001 to 5000 Employees","Company - Public (ARES)","$1 to $5 million (USD)"
"arganinc.com","Rockville, MD","1001 to 5000 Employees","Company - Public (AGX)","$500 million to $1 billion (USD)"
"argogroup.com","Hamilton, Bermuda","1001 to 5000 Employees","Company - Public (ARGO)","$1 to $2 billion (USD)"
"ariosaco.net","Hunt Valley, MD","51 to 200 Employees","Company - Public","Unknown / Non-Applicable"
"arista.com","Santa Clara, CA","1001 to 5000 Employees","Company - Public (ANET)","$2 to $5 billion (USD)"
"arkrestaurants.com","New York, NY","1001 to 5000 Employees","Company - Public (ARKR)","$100 to $500 million (USD)"
"armadahoffler.com","Virginia Beach, VA","51 to 200 Employees","Company - Public (AHH)","$100 to $500 million (USD)"
"arrowfinancial.com","Glens Falls, NY","501 to 1000 Employees","Company - Public (AROW)","$100 to $500 million (USD)"
"artesianwater.com","Newark, DE","201 to 500 Employees","Company - Public (ARTNA)","$50 to $100 million (USD)"
"artisanpartners.com","Milwaukee, WI","201 to 500 Employees","Company - Public (APAM)","$500 million to $1 billion (USD)"
"artsway-mfg.com","Armstrong, IA","51 to 200 Employees","Company - Public (ARTW)","$10 to $25 million (USD)"
"aschulman.com","Fairlawn, OH","1001 to 5000 Employees","Company - Public (SHLM)","$2 to $5 billion (USD)"
"as-e.com","Billerica, MA","201 to 500 Employees","Company - Public (ASEI)","$100 to $500 million (USD)"
"ashland.com","Wilmington, DE","1001 to 5000 Employees","Company - Public (ASH)","$2 to $5 billion (USD)"
"asianpacificfund.org","San Francisco, CA","1 to 50 Employees","Company - Private","$1 to $5 million (USD)"
"associatedbank.com","Green Bay, WI","1001 to 5000 Employees","Company - Public (ASB)","$1 to $2 billion (USD)"
"astecindustries.com","Chattanooga, TN","1001 to 5000 Employees","Company - Public (ASTE)","$1 to $2 billion (USD)"
"astronics.com","East Aurora, NY","1001 to 5000 Employees","Company - Public (ATRO)","$500 million to $1 billion (USD)"
"astronovainc.com","West Warwick, RI","201 to 500 Employees","Company - Public (ALOT)","$50 to $100 million (USD)"
"atarabio.com","South San Francisco, CA","201 to 500 Employees","Company - Public (ATRA)","Unknown / Non-Applicable"
"athlon.com","Machelen, Belgium","1001 to 5000 Employees","Company - Private","Unknown / Non-Applicable"
"atimetals.com","Pittsburgh, PA","5001 to 10000 Employees","Company - Public (ATI)","$2 to $5 billion (USD)"
"atlam.com","Brookhaven, GA","51 to 200 Employees","Company - Public (AAME)","$100 to $500 million (USD)"
"atlanticinfra.com","Wall Township, NJ","51 to 200 Employees","Contract","Unknown / Non-Applicable"
"atlanticunionbank.com","Richmond, VA","1001 to 5000 Employees","Company - Public (AUB)","$10+ billion (USD)"
"atmosenergy.com","Dallas, TX","1001 to 5000 Employees","Company - Public (ATO)","$2 to $5 billion (USD)"
"atrcorp.com","Beltsville, MD","51 to 200 Employees","Company - Private","$10 to $25 million (USD)"
"atrioncorp.com","Allen, TX","501 to 1000 Employees","Company - Public (ATRI)","$100 to $500 million (USD)"
"att.jobs","Dallas, TX","10000+ Employees","Company - Public (T)","$10+ billion (USD)"
"atwd.com","Houston, TX","1001 to 5000 Employees","Company - Public (ATW)","$1 to $2 billion (USD)"
"audioeye.com","Tucson, AZ","51 to 200 Employees","Company - Public","$10 to $25 million (USD)"
"augustapreciousmetals.com","Casper, CA","1 to 50 Employees","Company - Private","$1 to $5 million (USD)"
"auspex.com.br","","Unknown","Company - Private","Unknown / Non-Applicable"
"autode.sk/autodesklife","San Rafael, CA","1001 to 5000 Employees","Company - Public (ADSK )","$2 to $5 billion (USD)"
"autohome.com.cn","Beijing, China","201 to 500 Employees","Company - Public (ATHM)","Unknown / Non-Applicable"
"autotrader.com","Brookhaven, GA","1001 to 5000 Employees","Company - Private","$1 to $2 billion (USD)"
"averydennison.com","Glendale, CA","10000+ Employees","Company - Public (AVY)","$5 to $10 billion (USD)"
"avidbio.com","Tustin, CA","51 to 200 Employees","Company - Public (CDMO)","$10 to $25 million (USD)"
"avisbudgetgroup.com","Parsippany, NJ","10000+ Employees","Company - Public (CAR)","$5 to $10 billion (USD)"
"avnet.com","Phoenix, AZ","10000+ Employees","Company - Public (AVT)","$10+ billion (USD)"
"avonworldwide.com","London, United Kingdom","10000+ Employees","Company - Private","$10+ billion (USD)"
"avx.com","Fountain Inn, SC","10000+ Employees","Company - Public (AVX)","$1 to $2 billion (USD)"
"axdx.com","Tucson, AZ","201 to 500 Employees","Company - Public (AXDX)","$10 to $25 million (USD)"
"axiall.com","Atlanta, GA","5001 to 10000 Employees","Company - Public (AXLL)","$2 to $5 billion (USD)"
"azz.com","Fort Worth, TX","1001 to 5000 Employees","Company - Public (AZZ)","$500 million to $1 billion (USD)"
"badgermeter.com","Milwaukee, WI","1001 to 5000 Employees","Company - Public (BMI)","$100 to $500 million (USD)"
"bakerhughes.com","Houston, TX","10000+ Employees","Company - Public (BKR)","$5 to $10 billion (USD)"
"baldor.abb.com","Barcelona, Spain","5001 to 10000 Employees","Subsidiary or Business Segment","$1 to $2 billion (USD)"
"ball.com","Broomfield, CO","10000+ Employees","Company - Public (BLL)","$5 to $10 billion (USD)"
"bancorpsouth.com","Tupelo, MS","1001 to 5000 Employees","Company - Public (BXS)","$10 to $25 million (USD)"
"banctrustfinancialgroupinc.com","Mobile, AL","501 to 1000 Employees","Company - Public","$100 to $500 million (USD)"
"bankatfidelity.com","Dunmore, PA","51 to 200 Employees","Company - Private","$25 to $50 million (USD)"
"bankofamerica.com","Charlotte, NC","10000+ Employees","Company - Public (BAC)","$10+ billion (USD)"
"bankofgranite.com","Granite Falls, NC","51 to 200 Employees","Company - Public","$50 to $100 million (USD)"
"bankofsmithtown.com","Hauppauge, NY","201 to 500 Employees","Company - Public","$100 to $500 million (USD)"
"banksc.com","Charleston, SC","51 to 200 Employees","Company - Public (BKSC)","$10 to $25 million (USD)"
"barings.com","Charlotte, NC","1001 to 5000 Employees","Company - Private","$10+ billion (USD)"
"barnesgroupinc.com","Bristol, CT","1001 to 5000 Employees","Company - Public (B)","$500 million to $1 billion (USD)"
"barracudanetworks.com","Campbell, CA","1001 to 5000 Employees","Company - Private","$100 to $500 million (USD)"
"barrick.com","Toronto, Canada","10000+ Employees","Company - Public (GOLD)","$5 to $10 billion (USD)"
"bassettfurniture.com","Bassett, VA","1001 to 5000 Employees","Company - Public (BSET)","$100 to $500 million (USD)"
"bat.com","London, United Kingdom","10000+ Employees","Company - Public (BTI)","$10+ billion (USD)"
"baylake.com","Sturgeon Bay, WI","201 to 500 Employees","Company - Public (BYLK)","$25 to $50 million (USD)"
"bbinsurance.com","Daytona Beach, FL","5001 to 10000 Employees","Company - Public (BRO)","$1 to $2 billion (USD)"
"bbva.com","Bilbao, Spain","10000+ Employees","Company - Private","Unknown / Non-Applicable"
"bbxcapital.com","Fort Lauderdale, FL","5001 to 10000 Employees","Company - Public (BBX)","$500 million to $1 billion (USD)"
"bc.com","Boise, ID","5001 to 10000 Employees","Company - Public (BCC)","$5 to $10 million (USD)"
"bce.ca","Montreal, Canada","10000+ Employees","Company - Public (BCE)","$10+ billion (USD)"
"bd.com","Franklin Lakes, NJ","10000+ Employees","Company - Public (BDX)","$10+ billion (USD)"
"beamsuntory.com","Chicago, IL","1001 to 5000 Employees","Company - Private","$2 to $5 billion (USD)"
"beckmancoulter.com","Brea, CA","10000+ Employees","Subsidiary or Business Segment","$2 to $5 billion (USD)"
"bemismfg.com","Sheboygan Falls, WI","1001 to 5000 Employees","Company - Private","$100 to $500 million (USD)"
"benefitfocus.com","Daniel Island, SC","1001 to 5000 Employees","Company - Public (BNFT)","$100 to $500 million (USD)"
"benefytt.com","Tampa, FL","1 to 50 Employees","Company - Public","Unknown / Non-Applicable"
"benihana.com","Miami, FL","5001 to 10000 Employees","Company - Private","$100 to $500 million (USD)"
"berkshirehathaway.com","Omaha, NE","1001 to 5000 Employees","Company - Private","$100 to $500 million (USD)"
"bestbuy.com","Richfield, MN","10000+ Employees","Company - Public (BBY)","$10+ billion (USD)"
"bharchitects.com","Toronto, Canada","201 to 500 Employees","Private Practice / Firm","Unknown / Non-Applicable"
"bhp.com","Singapore, Singapore","10000+ Employees","Company - Private","$10+ billion (USD)"
"biglots.com","Columbus, OH","10000+ Employees","Company - Public (BIG)","$5 to $10 billion (USD)"
"biocept.com","San Diego, CA","51 to 200 Employees","Company - Public (BIOC)","$1 to $5 million (USD)"
"biolifesolutions.com","Bothell, WA","1 to 50 Employees","Company - Public (BLFS)","$5 to $10 million (USD)"
"biomerica.com","Irvine, CA","1 to 50 Employees","Company - Public (BMRA)","$5 to $10 million (USD)"
"bio-rad.com","Hercules, CA","5001 to 10000 Employees","Company - Public (BIO)","$2 to $5 billion (USD)"
"bioreference.com","Elmwood Park, NJ","1001 to 5000 Employees","Company - Public","$500 million to $1 billion (USD)"
"bio-techne.com","Minneapolis, MN","1001 to 5000 Employees","Company - Public (TECH)","$500 million to $1 billion (USD)"
"blackhawknetwork.com","Pleasanton, CA","1001 to 5000 Employees","Company - Private","$1 to $2 billion (USD)"
"blackhillsenergy.com","Rapid City, SD","1001 to 5000 Employees","Company - Public (BKH)","$1 to $2 billion (USD)"
"blackrock.com","New York, NY","10000+ Employees","Company - Public (BLK)","$10+ billion (USD)"
"blackstonemortgagetrust.com","New York, NY","1001 to 5000 Employees","Company - Public (BXMT)","$100 to $500 million (USD)"
"blount.com","Portland, OR","1001 to 5000 Employees","Company - Private","$500 million to $1 billion (USD)"
"bluebirdbio.com","Cambridge, MA","1001 to 5000 Employees","Company - Public (BLUE)","$10 to $25 million (USD)"
"bluechip.co.uk","Bedford, United Kingdom","201 to 500 Employees","Company - Private","Unknown / Non-Applicable"
"blue-dolphin.com","Houston, TX","1 to 50 Employees","Company - Public","$1 to $5 million (USD)"
"bluehillsbank.com","Hyde Park, MA","201 to 500 Employees","Company - Public (BHBK)","Unknown / Non-Applicable"
"bmc.com","Houston, TX","5001 to 10000 Employees","Company - Private","$2 to $5 billion (USD)"
"bms.com","New York, NY","10000+ Employees","Company - Public (BMY)","$10+ billion (USD)"
"bmt.com","Bryn Mawr, PA","501 to 1000 Employees","Company - Public (BMTC)","$100 to $500 million (USD)"
"bnymellon.com","New York, NY","10000+ Employees","Company - Public (BK)","$10+ billion (USD)"
"bobevansgrocery.com","New Albany, OH","1001 to 5000 Employees","Company - Public","$100 to $500 million (USD)"
"boeing.com","Chicago, IL","10000+ Employees","Company - Public (BA)","$10+ billion (USD)"
"boh.com","Honolulu, HI","1001 to 5000 Employees","Company - Public (BOH)","$500 million to $1 billion (USD)"
"bolt-technology.com","Norwalk, CT","201 to 500 Employees","Company - Public (BOLT)","$50 to $100 million (USD)"
"bonso.com","","Unknown","Company - Public (BNSO)","$25 to $50 million (USD)"
"borderfree.com","New York, NY","201 to 500 Employees","Company - Public (BRDR)","$100 to $500 million (USD)"
"bp.com","London, United Kingdom","10000+ Employees","Company - Public (BP)","$10+ billion (USD)"
"bradyid.com","Milwaukee, WI","5001 to 10000 Employees","Company - Public (BRC)","$1 to $2 billion (USD)"
"braemarsa.com","London, United Kingdom","51 to 200 Employees","Company - Private","Unknown / Non-Applicable"
"brandywinerealty.com","Philadelphia, PA","201 to 500 Employees","Company - Public (BDN)","$500 million to $1 billion (USD)"
"breproperties.com","San Francisco, CA","501 to 1000 Employees","Subsidiary or Business Segment","$100 to $500 million (USD)"
"bridgebank.com","San Jose, CA","51 to 200 Employees","Company - Public (BBNK)","Unknown / Non-Applicable"
"bridgford.com","Anaheim, CA","501 to 1000 Employees","Company - Public (BRID)","$100 to $500 million (USD)"
"brinkerjobs.com","Dallas, TX","10000+ Employees","Company - Public (EAT)","$2 to $5 billion (USD)"
"bristowgroup.com/about-bristow/jobs","Houston, TX","1001 to 5000 Employees","Company - Public (BRS)","$2 to $5 billion (USD)"
"brixmor.com","New York, NY","201 to 500 Employees","Company - Public (BRX)","$5 to $10 billion (USD)"
"brookfield.com","Toronto, Canada","10000+ Employees","Company - Public (BAM)","$10+ billion (USD)"
"brookfieldproperties.com","New York, NY","10000+ Employees","Company - Private","$100 to $500 million (USD)"
"brown-forman.com","Louisville, KY","1001 to 5000 Employees","Company - Public (BF-B)","$2 to $5 billion (USD)"
